application_number,child_application_number,child_filing_date,continuation_type
08678019,09244860,1999-02-05,CIP
08678020,08876142,1997-06-13,CON
08678020,08959553,1997-10-28,CON
08678023,08885445,1997-06-30,CON
08678025,PCT/US97/12587,1997-07-10,CON
08678026,PCT/US97/12014,1997-07-10,CON
08678028,08902873,1997-07-30,DIV
08678029,09111551,1998-07-07,CON
08678033,09005283,1998-01-09,CON
08678033,PCT/US97/11975,1997-07-09,CON
08678034,PCT/US97/11336,1997-06-27,CON
08678039,PCT/US97/11687,1997-07-09,CON
08678047,09520998,2000-03-08,DIV
08678049,PCT/US97/12289,1997-07-09,CON
08678049,09214638,1999-01-08,CIP
08678061,08872062,1997-06-10,CIP
08678061,08845357,1997-04-24,CIP
08678065,09506279,2000-02-17,DIV
08678065,08928617,1997-09-12,DIV
08678065,PCT/US97/12243,1997-07-09,CON
08678070,08892657,1997-07-15,CON
08678070,10105276,2002-03-26,CON
08678070,10105278,2002-03-26,CON
08678070,10105252,2002-03-26,CON
08678070,09629867,2000-08-01,CON
08678070,09412787,1999-10-05,CON
08678070,10105226,2002-03-26,CON
08678070,10105227,2002-03-26,CON
08678070,11179474,2005-07-13,CON
08678070,09963366,2001-09-27,CON
08678070,10653087,2003-09-03,CON
08678070,09188370,1998-11-10,CON
08678070,10293327,2002-11-14,CON
08678076,08818384,1997-03-14,DIV
08678084,09544063,2000-04-06,DIV
08678084,09220868,1998-12-23,DIV
08678084,10421185,2003-04-23,DIV
08678093,08742861,1996-11-01,CIP
08678099,09062900,1998-04-21,DIV
08678104,09929774,2001-08-14,CIP
08678104,09253966,1999-02-22,CIP
08678106,PCT/US97/11872,1997-07-07,CON
08678115,09524978,2000-03-14,CON
08678115,08876829,1997-06-16,CON
08678116,08917694,1997-08-26,CON
08678118,09030999,1998-02-26,CON
08678118,09031008,1998-02-26,CON
08678125,29066103,1997-02-06,CIP
08678136,09137501,1998-08-20,DIV
08678136,PCT/US97/11888,1997-07-10,CON
08678148,10378254,2003-03-03,REI
08678148,11068642,2005-02-28,REI
08678148,10790637,2004-03-01,REI
08678148,10935686,2004-09-07,REI
08678148,10179467,2002-06-25,REI
08678148,10038059,2001-10-19,REI
08678148,10645317,2003-08-21,REI
08678151,09295147,1999-04-26,CON
08678170,08947331,1997-10-08,CON
08678172,09186451,1998-11-05,CON
08678172,09885336,2001-06-19,CON
