application_number,child_application_number,child_filing_date,continuation_type
10961793,11192615,2005-07-29,CIP
10961793,11240039,2005-09-30,CIP
10961793,11241501,2005-09-30,CIP
10961793,11193140,2005-07-29,CIP
10961793,11193077,2005-07-29,CIP
10961793,11193076,2005-07-29,CIP
10961793,11192617,2005-07-29,CIP
10961793,11193154,2005-07-29,CIP
10961793,13219501,2011-08-26,CIP
10961793,11241498,2005-09-30,CIP
10961793,11241447,2005-09-30,CIP
10961793,11192630,2005-07-29,CIP
10961793,11241010,2005-09-30,CIP
10961793,11465699,2006-08-18,CIP
10961793,11255611,2005-10-21,CIP
10961793,11232552,2005-09-22,CIP
10961793,11192546,2005-07-29,CIP
10961793,11240084,2005-09-30,CIP
10961793,11193151,2005-07-29,CIP
10961793,11192937,2005-07-29,CIP
10961793,11218186,2005-08-31,CIP
10961793,11192629,2005-07-29,CIP
10961793,11192547,2005-07-29,CIP
10961793,11685046,2007-03-12,CIP
10961793,11465752,2006-08-18,CIP
10961793,11465747,2006-08-18,CIP
10961793,11192865,2005-07-29,CIP
10961793,11233270,2005-09-22,CIP
10961793,11241497,2005-09-30,CIP
10961793,11256493,2005-10-21,CIP
10961793,11232588,2005-09-22,CIP
10961793,13078967,2011-04-02,CIP
10961793,11232827,2005-09-22,CIP
10961793,11233202,2005-09-22,CIP
10961793,11256479,2005-10-21,CIP
10961793,11465722,2006-08-18,CIP
10961793,11192824,2005-07-29,CIP
10961793,11193188,2005-07-29,CIP
10961793,11241320,2005-09-30,CIP
10961793,11240139,2005-09-30,CIP
10961793,11193152,2005-07-29,CIP
10961793,11192870,2005-07-29,CIP
10961793,11241071,2005-09-30,CIP
10961793,11562342,2006-11-21,CIP
10961793,11192500,2005-07-29,CIP
10961793,11233201,2005-09-22,CIP
10961793,11192868,2005-07-29,CIP
10961793,11192862,2005-07-29,CIP
10961793,11255333,2005-10-21,CIP
10961793,11192796,2005-07-29,CIP
10961793,11192467,2005-07-29,CIP
10961793,11241011,2005-09-30,CIP
10961793,11218033,2005-08-31,CIP
10961796,11880769,2007-07-24,CIP
10961796,12606541,2009-10-27,CON
10961798,12104938,2008-04-17,CON
10961798,12830810,2010-07-06,CON
10961800,12566583,2009-09-24,CON
10961804,12691637,2010-01-21,DIV
10961806,PCT/US05/13882,2005-04-22,CON
10961807,11281925,2005-11-17,CON
10961807,11979193,2007-10-31,CON
10961811,PCT/US05/31266,2005-09-01,CON
10961813,12025967,2008-02-05,CIP
10961813,11780828,2007-07-20,CIP
10961814,11505122,2006-08-16,DIV
10961814,13194298,2011-07-29,CON
10961814,13029762,2011-02-17,CON
10961814,12753573,2010-04-02,DIV
10961814,13194363,2011-07-29,CON
10961816,11071054,2005-03-02,CIP
10961816,11860483,2007-09-24,CON
10961818,12460449,2009-07-18,DIV
