application_number,child_application_number,child_filing_date,continuation_type
60428704,10720952,2003-11-24,PRO
60428704,13280875,2011-10-25,PRO
60428704,11091158,2005-03-28,PRO
60428704,12256583,2008-10-23,PRO
60428704,10720825,2003-11-24,PRO
60428704,PCT/US03/37882,2003-11-25,PRO
60428704,PCT/US03/37698,2003-11-25,PRO
60428704,PCT/US03/37883,2003-11-25,PRO
60428704,11091158,2005-03-28,PRO
60428704,10720784,2003-11-24,PRO
60428704,PCT/US03/37458,2003-11-25,PRO
60428704,11091158,2005-03-28,PRO
60428704,10720943,2003-11-24,PRO
60428704,11465004,2006-08-16,PRO
60428704,10721009,2003-11-24,PRO
60428704,10720944,2003-11-24,PRO
60428704,10720868,2003-11-24,PRO
60428705,10698415,2003-11-03,PRO
60428706,10674420,2003-10-01,PRO
60428707,10698414,2003-11-03,PRO
60428709,10698415,2003-11-03,PRO
60428712,10608141,2003-06-30,PRO
60428713,10720696,2003-11-25,PRO
60428713,10536373,,PRO
60428713,PCT/US03/37734,2003-11-25,PRO
60428715,10400062,2003-03-27,PRO
60428716,10714612,2003-11-18,PRO
60428717,10400062,2003-03-27,PRO
60428718,10718601,2003-11-24,PRO
60428720,10667591,2003-09-23,PRO
60428721,10716410,2003-11-20,PRO
60428722,10720761,2003-11-25,PRO
60428722,PCT/US03/37468,2003-11-25,PRO
60428722,11072462,2005-03-07,PRO
60428724,10459601,2003-06-12,PRO
60428724,11673140,2007-02-09,PRO
60428724,PCT/US03/37109,2003-11-20,PRO
60428726,PCT/US03/36655,2003-11-17,PRO
60428726,13620938,2012-09-15,PRO
60428726,10392300,2003-03-20,PRO
60428726,12198633,2008-08-26,PRO
60428726,10330670,2002-12-30,PRO
60428726,13620942,2012-09-15,PRO
60428726,13442231,2012-04-09,PRO
60428726,11777706,2007-07-13,PRO
60428727,10720301,2003-11-24,PRO
60428730,PCT/US03/36802,2003-11-13,PRO
60428730,10704256,2003-11-06,PRO
60428731,11429170,2006-05-04,PRO
60428731,11246463,2005-10-06,PRO
60428731,10719916,2003-11-21,PRO
60428732,10701252,2003-11-03,PRO
60428734,12184409,2008-08-01,PRO
60428734,10421664,2003-04-23,PRO
60428735,13448268,2012-04-16,PRO
60428735,10686608,2003-10-17,PRO
60428739,10513338,2005-12-09,PRO
60428739,PCT/US03/37632,2003-11-25,PRO
60428741,10698403,2003-11-03,PRO
60428743,10706711,2003-11-12,PRO
60428744,10701466,2003-11-06,PRO
60428745,10720689,2003-11-25,PRO
60428745,10815945,2004-04-02,PRO
60428746,PCT/US03/37469,2003-11-25,PRO
60428746,10535835,2005-10-19,PRO
60428749,10611977,2003-07-03,PRO
60428752,10723564,2003-11-25,PRO
60428753,PCT/US03/37633,2003-11-25,PRO
60428753,10536463,2006-03-13,PRO
60428754,PCT/US03/37208,2003-11-20,PRO
60428754,12587976,2009-10-14,PRO
60428754,10535521,2005-05-18,PRO
60428756,10681661,2003-10-08,PRO
60428777,10720040,2003-11-21,PRO
60428777,11890845,2007-08-08,PRO
60428781,10721406,2003-11-24,PRO
60428782,10455194,2003-06-04,PRO
60428789,10719160,2003-11-21,PRO
60428790,10719362,2003-11-21,PRO
60428800,PCT/US03/37729,2003-11-24,PRO
60428800,10720656,2003-11-24,PRO
60428802,10431679,2003-05-08,PRO
60428803,10521063,2006-10-16,PRO
60428803,10913304,2004-08-06,PRO
60428803,11963624,2007-12-21,PRO
60428803,PCT/US03/21611,2003-07-11,PRO
60428805,10618143,2003-07-11,PRO
60428805,12069188,2008-02-07,PRO
60428807,PCT/US03/04206,2003-02-11,PRO
60428807,10364743,2003-02-11,PRO
60428807,10452593,2003-06-02,PRO
60428809,10721013,2003-11-21,PRO
60428811,10690169,2003-10-21,PRO
60428811,12660088,2010-02-19,PRO
60428811,PCT/US03/34120,2003-10-27,PRO
60428813,10719190,2003-11-21,PRO
60428815,10721957,2003-11-25,PRO
60428817,10719200,2003-11-20,PRO
60428818,10713798,2003-11-13,PRO
60428818,PCT/US03/37195,2003-11-19,PRO
60428821,10712455,2003-11-12,PRO
60428821,11552198,2006-10-24,PRO
60428822,10448181,2003-05-29,PRO
60428824,10720877,2003-11-24,PRO
60428825,PCT/US03/37467,2003-11-25,PRO
60428825,10535991,2005-05-25,PRO
60428827,10722033,2003-11-25,PRO
60428827,PCT/US03/37475,2003-11-25,PRO
60428829,10721720,2003-11-25,PRO
60428829,PCT/US03/37863,2003-11-25,PRO
60428833,10717863,2003-11-19,PRO
60428834,10721731,2003-11-25,PRO
60428835,10722011,2003-11-25,PRO
60428836,12211741,2008-09-16,PRO
60428836,PCT/US03/27611,2003-09-02,PRO
60428836,10899823,2004-07-27,PRO
60428836,10653521,2003-09-02,PRO
60428836,12211768,2008-09-16,PRO
60428836,11951229,2007-12-05,PRO
60428836,12777184,2010-05-10,PRO
60428836,12983722,2011-01-03,PRO
60428836,10824217,2004-04-14,PRO
60428837,PCT/US03/21378,2003-07-09,PRO
60428837,10718146,2003-11-20,PRO
60428839,10368596,2003-02-20,PRO
60428841,11134928,2005-05-23,PRO
60428841,PCT/US03/37733,2003-11-24,PRO
60428846,10721016,2003-11-21,PRO
60428846,PCT/US03/37377,2003-11-21,PRO
60428847,10719086,2003-11-21,PRO
60428847,11623282,2007-01-15,PRO
60428847,PCT/US03/37562,2003-11-24,PRO
60428848,10721658,2003-11-25,PRO
60428851,10796852,2004-03-09,PRO
60428851,10722382,2003-11-25,PRO
60428853,10535778,2005-05-20,PRO
60428853,PCT/US03/33871,2003-10-27,PRO
60428853,PCT/US03/33889,2003-10-27,PRO
60428853,10535880,2005-05-20,PRO
60428854,10722840,2003-11-25,PRO
60428854,PCT/US03/37938,2003-11-25,PRO
60428856,10723382,2003-11-25,PRO
