application_number,parent_application_number,parent_filing_date,continuation_type
PCT/US04/34997,10896700,2004-07-22,CON
PCT/US04/34998,10688369,2003-10-17,CON
PCT/US04/34999,10834508,2004-04-29,CON
PCT/US04/35000,10690211,2003-10-21,CON
PCT/US04/35002,10713530,2003-11-13,CON
PCT/US04/35003,10691008,2003-10-22,CON
PCT/US04/35004,10692468,2003-10-22,CON
PCT/US04/35005,60514320,2003-10-24,PRO
PCT/US04/35005,60559740,2004-04-05,PRO
PCT/US04/35005,10932586,2004-09-01,CON
PCT/US04/35007,60514486,2003-10-24,PRO
PCT/US04/35008,60513815,2003-10-23,PRO
PCT/US04/35009,60514892,2003-10-24,PRO
PCT/US04/35010,10698659,2003-10-31,CON
PCT/US04/35011,60513037,2003-10-21,PRO
PCT/US04/35011,60541589,2004-02-04,PRO
PCT/US04/35012,60513426,2003-10-21,PRO
PCT/US04/35012,60561563,2004-04-12,PRO
PCT/US04/35012,60561721,2004-04-12,PRO
PCT/US04/35013,10691128,2003-10-22,CON
PCT/US04/35014,60513157,2003-10-21,PRO
PCT/US04/35014,10764650,2004-01-26,CON
PCT/US04/35014,10764651,2004-01-26,CON
PCT/US04/35015,60524062,2003-11-21,PRO
PCT/US04/35016,60513906,2003-10-23,PRO
PCT/US04/35016,10970838,2004-10-21,CON
PCT/US04/35017,60513644,2003-10-23,PRO
PCT/US04/35018,60514306,2003-10-24,PRO
PCT/US04/35018,60514226,2003-10-24,PRO
PCT/US04/35020,60514406,2003-10-24,PRO
PCT/US04/35021,60514403,2003-10-24,PRO
PCT/US04/35023,10691128,2003-10-22,CON
PCT/US04/35023,10719685,2003-11-21,CON
PCT/US04/35024,60513157,2003-10-21,PRO
PCT/US04/35024,10764650,2004-01-26,CON
PCT/US04/35024,10764651,2004-01-26,CON
PCT/US04/35025,60513440,2003-10-21,PRO
PCT/US04/35026,60513252,2003-10-21,PRO
PCT/US04/35026,10971468,2004-10-21,CON
PCT/US04/35027,10693743,2003-10-23,CON
PCT/US04/35028,10693803,2003-10-24,CON
PCT/US04/35029,10723682,2003-11-24,CON
PCT/US04/35030,60513035,2003-10-21,PRO
PCT/US04/35031,10696140,2003-10-29,CON
PCT/US04/35032,60513306,2003-10-22,PRO
PCT/US04/35032,10889614,2004-07-12,CON
PCT/US04/35033,10698092,2003-10-31,CON
PCT/US04/35034,60513458,2003-10-22,PRO
PCT/US04/35034,60548150,2004-02-26,PRO
PCT/US04/35034,60577942,2004-06-08,PRO
PCT/US04/35035,10693357,2003-10-24,CON
PCT/US04/35036,10697686,2003-10-31,CON
PCT/US04/35037,10698606,2003-10-30,CON
PCT/US04/35038,10693758,2003-10-23,CON
PCT/US04/35039,60514307,2003-10-23,PRO
PCT/US04/35039,60561999,2004-04-13,PRO
PCT/US04/35040,60513700,2003-10-22,PRO
PCT/US04/35041,60559842,2004-04-06,PRO
PCT/US04/35042,60514315,2003-10-24,PRO
PCT/US04/35042,60559740,2004-04-05,PRO
PCT/US04/35042,10932586,2004-09-01,CON
PCT/US04/35043,60514266,2003-10-24,PRO
PCT/US04/35043,10970103,2004-10-21,CON
PCT/US04/35044,60513365,2003-10-21,PRO
PCT/US04/35044,60550437,2004-03-05,PRO
