application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
08515569,6-202477,1994-08-26,JP,JAPAN
08515570,06-221916,1994-09-16,JP,JAPAN
08515571,06-225227,1994-09-20,JP,JAPAN
08515572,94 10260,1994-08-24,FR,FRANCE
08515575,P150522/91,1991-06-21,JP,JAPAN
08515578,H6-291602,1994-11-25,JP,JAPAN
08515581,204728/94,1994-08-30,JP,JAPAN
08515582,202265/1994,1994-08-26,JP,JAPAN
08515583,195395/'94,1994-08-19,JP,JAPAN
08515583,029190/'95,1995-02-17,JP,JAPAN
08515584,6-204840,1994-08-30,JP,JAPAN
08515586,6-225178,1994-09-20,JP,JAPAN
08515587,04-10663/1992,1992-01-24,JP,JAPAN
08515587,03-16190/1991,1991-02-07,JP,JAPAN
08515587,03-209225/1991,1991-08-21,JP,JAPAN
08515587,03-166931/1991,1991-07-10,JP,JAPAN
08515589,206431/1994,1994-08-31,JP,JAPAN
08515589,236531/1994,1994-09-30,JP,JAPAN
08515591,6-195838,1994-08-22,JP,JAPAN
08515592,279688/94,1994-10-20,JP,JAPAN
08515592,214323/94,1994-08-17,JP,JAPAN
08515593,20383/1994,1994-08-18,KR,REPUBLIC OF KOREA
08515594,3-098917,1991-04-30,JP,JAPAN
08515595,925842,1992-12-22,FI,FINLAND
08515599,P06-203617,1994-08-29,JP,JAPAN
08515599,P06-239959,1994-10-04,JP,JAPAN
08515600,192613/1994,1994-08-16,JP,JAPAN
08515602,194316/1994,1994-08-18,JP,JAPAN
08515607,5-37641,1993-02-26,JP,JAPAN
08515607,5-33072,1995-02-23,JP,JAPAN
08515608,20300/1994,1994-08-17,KR,REPUBLIC OF KOREA
08515609,137035/95,1995-06-02,JP,JAPAN
08515609,202638/94,1994-08-26,JP,JAPAN
08515610,9416841.6,1994-08-19,GB,UNITED KINGDOM
08515613,94-28736,1994-10-31,KR,REPUBLIC OF KOREA
08515617,95-1450,1995-01-28,KR,REPUBLIC OF KOREA
08515617,94-21049,1994-08-20,KR,REPUBLIC OF KOREA
08515617,94-21048,1994-08-20,KR,REPUBLIC OF KOREA
08515617,95-1452,1995-01-28,KR,REPUBLIC OF KOREA
08515617,95-1454,1995-01-28,KR,REPUBLIC OF KOREA
08515617,94-21045,1994-08-20,KR,REPUBLIC OF KOREA
08515617,94-21046,1994-08-20,KR,REPUBLIC OF KOREA
08515617,94-21050,1994-08-20,KR,REPUBLIC OF KOREA
08515618,P.HEI.6-205383,1994-08-30,JP,JAPAN
08515619,P.HEI.6-194419,1994-08-18,JP,JAPAN
08515621,94-10432,1994-08-30,FR,FRANCE
08515624,5-001036,1993-01-07,JP,JAPAN
08515624,5-309092,1993-12-09,JP,JAPAN
08515628,94/-20511,1994-08-19,KR,REPUBLIC OF KOREA
08515631,198350/1994,1994-08-23,JP,JAPAN
08515639,6-198136,1994-08-23,JP,JAPAN
08515640,94 10 165,1994-08-19,FR,FRANCE
