application_number,child_application_number,child_filing_date,continuation_type
29245484,29253754,2006-02-13,CON
29245564,29267358,2006-10-12,DIV
29245663,29407973,2011-12-06,DIV
29245663,29304143,2008-02-26,DIV
29245663,29379390,2010-11-18,DIV
29245663,29272946,2007-02-22,DIV
29245663,29346863,2009-11-06,DIV
29245663,29332347,2009-02-13,DIV
29245669,29269253,2006-11-27,DIV
29245672,29413124,2012-02-10,CON
29245678,29257424,2006-04-04,CIP
29245705,29289681,2007-07-27,CIP
29245709,29389379,2011-04-11,CON
29245716,29277603,2007-03-02,DIV
29245718,29282099,2007-07-11,DIV
29245736,29287484,2007-08-14,DIV
29245736,29274990,2007-06-15,CIP
29245736,29287485,2007-08-14,DIV
29245736,29287486,2007-08-14,DIV
29245737,29287005,2007-06-18,CIP
29245737,29287484,2007-08-14,DIV
29245737,29287485,2007-08-14,DIV
29245737,29287486,2007-08-14,DIV
29245747,29306630,2008-04-14,DIV
29245811,29285442,2007-03-29,DIV
29245812,11526559,2006-09-21,CIP
29245816,29306330,2008-04-07,DIV
29245883,29254389,2006-02-22,CIP
29245884,29314426,2009-03-30,DIV
29245884,29292943,2007-11-02,DIV
29245900,29311181,2009-01-12,DIV
29245900,29347434,2010-01-06,DIV
29245900,29347433,2010-01-06,DIV
29245909,29292746,2007-10-26,DIV
29245914,29248055,2006-07-27,DIV
29245934,29254651,2006-02-27,CIP
29245935,PCT/US06/47550,2006-12-13,CON
29245935,11609613,2006-12-12,CIP
29245936,PCT/US06/47550,2006-12-13,CON
29245936,11609613,2006-12-12,CIP
29245937,11609613,2006-12-12,CIP
29245937,PCT/US06/47550,2006-12-13,CON
29245938,11609613,2006-12-12,CIP
29245938,PCT/US06/47550,2006-12-13,CON
29245939,11489342,2006-07-17,CIP
29245954,29294470,2008-01-11,DIV
29245956,29312899,2008-11-19,CON
29245960,PCT/US06/62620,2006-12-27,CON
29245966,29264377,2006-08-08,CIP
29245985,29248778,2006-09-01,CON
29245989,29253546,2006-02-09,CON
29245989,29253544,2006-02-09,CON
29245989,29253499,2006-02-08,CON
29245989,29253545,2006-02-09,CON
29245989,29253829,2006-02-14,CON
29246015,29278767,2007-04-09,CIP
29246045,29267064,2006-10-04,DIV
29246054,29283849,2007-08-24,DIV
29246054,29283847,2007-08-24,DIV
29246054,29283852,2007-08-24,DIV
29246054,29283857,2007-08-24,DIV
29246054,29283827,2007-08-24,DIV
29246054,29283850,2007-08-24,DIV
29246054,29283858,2007-08-24,DIV
29246054,29283838,2007-08-24,DIV
29246103,29306145,2008-04-03,DIV
29246166,29318694,2008-05-26,DIV
29246172,29247661,2006-06-30,CON
29246172,29247657,2006-06-30,CON
29246172,29247660,2006-06-30,CON
29246172,29247654,2006-06-30,CON
29246172,29247658,2006-06-30,CON
29246209,29280142,2007-05-17,CON
29246229,29279051,2007-04-18,DIV
29246229,29279049,2007-04-18,DIV
29246230,29296786,2007-10-29,DIV
29246230,29296787,2007-10-29,DIV
29246230,29302165,2008-01-11,CON
29246236,29282170,2007-07-12,CON
29246236,29269334,2006-11-27,CON
29246239,29294696,2007-07-30,DIV
29246266,29249601,2006-10-13,CIP
29246271,29282859,2007-07-31,DIV
29246281,29249573,2006-10-12,DIV
29246283,29278841,2007-04-11,CIP
29246311,29282473,2007-07-20,DIV
29246312,29249051,2006-09-18,DIV
29246312,29248163,2006-07-31,DIV
29246328,29248079,2006-07-27,CON
29246328,29248077,2006-07-27,CON
29246330,29280209,2007-05-21,DIV
29246334,29246401,2006-04-07,CON
29246334,29246400,2006-04-07,CON
29246359,29280551,2007-05-31,CON
29246359,29280546,2007-05-31,CON
29246378,29272445,2007-02-08,DIV
29246382,29282555,2007-07-24,DIV
29246390,29249413,2006-10-05,CON
29246390,29250830,2006-12-01,CON
29246402,29297995,2007-11-26,DIV
29246432,13151789,2011-06-02,CIP
29246432,PCT/US07/06717,2007-03-16,CON
29246432,11725162,2007-03-16,CIP
29246433,PCT/US07/06717,2007-03-16,CON
29246433,11725162,2007-03-16,CIP
29246433,13151789,2011-06-02,CIP
29246437,29331260,2009-01-22,DIV
29246445,29284248,2007-09-04,CIP
29246446,29284250,2007-09-04,CIP
29246472,29277892,2007-03-13,DIV
29246500,29284107,2007-08-30,DIV
29246502,PCT/US06/37006,2006-09-22,CON
29246502,11534625,2006-09-22,CIP
29246502,13915379,2013-06-11,CIP
29246502,12973720,2010-12-20,CIP
29246503,12973720,2010-12-20,CIP
29246503,13915379,2013-06-11,CIP
29246503,11534625,2006-09-22,CIP
29246503,PCT/US06/37006,2006-09-22,CON
29246504,13915379,2013-06-11,CIP
29246504,11534625,2006-09-22,CIP
29246504,12973720,2010-12-20,CIP
29246504,PCT/US06/37006,2006-09-22,CON
29246514,29247883,2006-07-18,CIP
29246552,29250895,2006-12-04,CIP
29246553,29318388,2008-05-19,DIV
29246567,11422345,2006-06-06,CIP
29246600,29248841,2006-09-07,CIP
29246600,29248842,2006-09-07,CIP
29246625,29321245,2008-07-14,CIP
29246625,29280972,2007-06-12,CIP
29246636,29296353,2007-10-18,DIV
29246645,29278351,2007-03-27,CON
29246662,29299163,2007-12-20,DIV
29246672,29275340,2006-12-21,CON
29246672,29275342,2006-12-21,CON
29246672,29320183,2008-06-23,CON
29246672,29275341,2006-12-21,CON
29246672,29275344,2006-12-21,CON
29246683,29281249,2007-06-19,DIV
29246704,29246854,2006-05-16,CIP
29246742,29278739,2007-04-09,DIV
29246742,29284920,2007-09-18,DIV
29246743,PCT/US07/67697,2007-04-27,CON
29246743,13670387,2012-11-06,CIP
29246743,PCT/US07/67437,2007-04-25,CON
29246743,PCT/US07/67961,2007-05-01,CON
29246743,PCT/US07/67010,2007-04-19,CON
29246743,PCT/US07/67005,2007-04-19,CON
29246743,PCT/US07/67324,2007-04-24,CON
29246744,13670387,2012-11-06,CIP
29246744,PCT/US07/67697,2007-04-27,CON
29246744,PCT/US07/67324,2007-04-24,CON
29246744,PCT/US07/67961,2007-05-01,CON
29246744,PCT/US07/67005,2007-04-19,CON
29246744,PCT/US07/67010,2007-04-19,CON
29246744,29350135,2009-11-11,DIV
29246744,PCT/US07/67437,2007-04-25,CON
29246744,29350134,2009-11-11,DIV
29246750,29284838,2007-09-17,DIV
29246750,29284840,2007-09-17,DIV
29246750,29284841,2007-09-17,DIV
29246762,PCT/US07/67010,2007-04-19,CON
29246762,13670387,2012-11-06,CIP
29246762,PCT/US07/67961,2007-05-01,CON
29246762,PCT/US07/67437,2007-04-25,CON
29246762,PCT/US07/67005,2007-04-19,CON
29246762,29289184,2007-07-10,CON
29246762,PCT/US07/67324,2007-04-24,CON
29246762,PCT/US07/67697,2007-04-27,CON
29246764,13670387,2012-11-06,CIP
29246764,PCT/US07/67010,2007-04-19,CON
29246764,PCT/US07/67961,2007-05-01,CON
29246764,PCT/US07/67697,2007-04-27,CON
29246764,PCT/US07/67324,2007-04-24,CON
29246764,PCT/US07/67005,2007-04-19,CON
29246764,PCT/US07/67437,2007-04-25,CON
29246767,PCT/US07/67961,2007-05-01,CON
29246767,PCT/US07/67010,2007-04-19,CON
29246767,PCT/US07/67697,2007-04-27,CON
29246767,PCT/US07/67005,2007-04-19,CON
29246767,PCT/US07/67437,2007-04-25,CON
29246767,PCT/US07/67324,2007-04-24,CON
29246767,13670387,2012-11-06,CIP
29246768,PCT/US07/67961,2007-05-01,CON
29246768,PCT/US07/67324,2007-04-24,CON
29246768,PCT/US07/67697,2007-04-27,CON
29246768,PCT/US07/67010,2007-04-19,CON
29246768,PCT/US07/67005,2007-04-19,CON
29246768,13670387,2012-11-06,CIP
29246768,PCT/US07/67437,2007-04-25,CON
29246787,29319676,2008-06-12,DIV
29246787,29319680,2008-06-12,DIV
29246787,29319678,2008-06-12,DIV
29246812,11557825,2006-11-08,CIP
29246823,29248722,2006-08-30,CON
29246863,29246893,2006-05-18,CIP
29246875,29247949,2006-07-21,DIV
29246884,29296655,2007-10-25,CIP
29246896,29295019,2007-09-20,CIP
29246896,29249757,2006-10-20,CIP
29246900,29279255,2007-04-24,CON
29246900,29396276,2011-06-28,CON
29246900,29279254,2007-04-24,CON
29246900,29380895,2010-12-13,CON
29246900,29279252,2007-04-24,CON
29246900,29279253,2007-04-24,CON
29246900,29331523,2009-01-27,CON
29246900,29279257,2007-04-24,CON
29246900,29279256,2007-04-24,CON
29246900,29396275,2011-06-28,CON
29246900,29276120,2007-01-16,CON
29246900,29396273,2011-06-28,CON
29246900,29279258,2007-04-24,CON
29246909,29283411,2007-08-13,CON
29246909,29297463,2007-11-12,CON
29246911,29341146,2009-07-31,CIP
29246911,29341154,2009-07-31,CIP
29246911,29341140,2009-07-31,CIP
29246911,29341144,2009-07-31,CIP
29246911,29341141,2009-07-31,CIP
29246911,29341138,2009-07-31,CIP
29246911,29341152,2009-07-31,CIP
29246911,29341148,2009-07-31,CIP
29246911,29249568,2006-10-12,CIP
29246933,29246999,2006-05-23,CON
29246933,29246988,2006-05-23,CON
29246933,29246990,2006-05-23,CON
29246933,29247006,2006-05-23,CON
29246933,29246985,2006-05-23,CON
29246933,29246976,2006-05-23,CON
29246933,29246984,2006-05-23,CON
29246933,29246997,2006-05-23,CON
29246933,29246992,2006-05-23,CON
29246933,29246987,2006-05-23,CON
29246933,29246994,2006-05-23,CON
29246933,29246995,2006-05-23,CON
29246933,29246978,2006-05-23,CON
29246933,29247010,2006-05-23,CON
29246933,29246996,2006-05-23,CON
29246933,29246993,2006-05-23,CON
29246933,29246998,2006-05-23,CON
29246933,29246979,2006-05-23,CON
29246933,29247004,2006-05-23,CON
29246933,29246991,2006-05-23,CON
29246933,29246986,2006-05-23,CON
29246933,29247000,2006-05-23,CON
29246933,29246989,2006-05-23,CON
29246933,29247005,2006-05-23,CON
29246933,29247012,2006-05-23,CON
29246934,29281389,2007-06-21,DIV
29246934,29281392,2007-06-21,DIV
29246934,29281380,2007-06-21,DIV
29247024,13016001,2011-01-28,CON
29247068,29297639,2007-11-15,DIV
29247068,29249452,2006-10-06,DIV
29247104,11617205,2006-12-28,CIP
29247115,29295825,2007-10-08,DIV
29247115,29295826,2007-10-08,DIV
29247116,29295829,2007-10-08,DIV
29247116,29295827,2007-10-08,DIV
29247118,29295830,2007-10-08,DIV
29247156,29283662,2007-08-21,DIV
29247165,29318781,2008-05-28,CON
29247165,29283506,2007-08-16,CON
29247165,29318780,2008-05-28,CON
29247165,29250420,2006-11-14,CON
29247165,29305488,2008-03-21,CON
29247168,29276069,2007-01-12,CON
29247181,29247710,2006-07-05,CIP
29247188,29350158,2009-11-12,CON
29247188,29350161,2009-11-12,CON
29247188,29276356,2007-01-23,CON
29247188,29323018,2008-08-15,CON
29247188,29350162,2009-11-12,CON
29247188,29350154,2009-11-12,CON
29247216,29284853,2007-09-17,DIV
29247218,29284759,2007-09-14,DIV
29247218,29284765,2007-09-14,DIV
29247221,29306552,2008-04-10,DIV
29247302,29324198,2008-09-08,CON
29247313,29338748,2009-06-17,DIV
29247315,29345742,2009-10-21,DIV
29247333,29345120,2009-10-09,DIV
29247333,29312340,2008-10-14,DIV
29247333,29250584,2006-11-22,DIV
29247350,11620013,2007-01-04,CIP
29247352,11620013,2007-01-04,CIP
29247383,29334977,2009-04-06,DIV
29247383,29334978,2009-04-06,DIV
29247396,29305160,2008-03-14,DIV
29247400,29284852,2007-09-17,DIV
29247400,29284752,2007-09-14,DIV
29247400,29302420,2008-01-16,DIV
29247422,29302028,2008-01-09,CON
29247444,29276632,2007-01-31,CON
29247462,29324182,2008-09-08,DIV
29247462,29331150,2009-01-21,DIV
29247463,29331366,2009-01-23,DIV
29247463,29324342,2008-09-10,DIV
29247465,29331370,2009-01-23,DIV
29247465,29324029,2008-09-04,DIV
29247479,29283092,2007-08-06,CON
29247484,29294400,2008-01-09,DIV
29247496,29284613,2007-09-12,DIV
29247496,29284617,2007-09-12,DIV
29247517,29284621,2007-09-12,DIV
29247519,29343954,2009-09-22,CIP
29247526,29275190,2006-12-15,CON
29247526,29275186,2006-12-15,CON
29247526,29275187,2006-12-15,CON
29247526,29275184,2006-12-15,CON
29247538,29387583,2011-03-15,CIP
29247538,29376256,2010-10-04,CIP
29247623,29298846,2007-12-13,CIP
29247623,29297014,2007-11-01,DIV
29247623,29297022,2007-11-01,DIV
29247623,29297041,2007-11-01,DIV
29247623,29297051,2007-11-02,DIV
29247623,29297034,2007-11-01,DIV
29247623,29297039,2007-11-01,DIV
29247623,29341980,2009-08-17,CIP
29247623,29297040,2007-11-01,DIV
29247623,29297027,2007-11-01,DIV
29247623,29297030,2007-11-01,DIV
29247623,29297036,2007-11-01,DIV
29247623,29298909,2007-12-14,CIP
29247623,29297043,2007-11-01,DIV
29247626,29298184,2007-11-30,CIP
29247630,29280183,2007-05-18,CIP
29247645,29321779,2008-07-23,CIP
29247645,29321826,2008-07-24,CIP
29247662,29363604,2010-06-11,DIV
29247662,29404376,2011-10-20,DIV
29247668,29288954,2007-06-28,DIV
29247684,29248396,2006-08-14,CIP
29247684,29248046,2006-07-26,CIP
29247685,29283599,2007-08-17,DIV
29247688,29283593,2007-08-17,DIV
29247689,29296946,2007-10-31,DIV
29247694,29280935,2007-06-11,CIP
29247694,29323685,2008-08-28,CIP
29247726,11466175,2006-08-22,CON
29247740,29279984,2007-05-14,CON
29247755,29278043,2007-03-16,CIP
29247764,14513885,2014-10-14,CIP
29247764,11556599,2006-11-03,CIP
29247765,29279983,2007-05-14,CON
29247780,29275189,2006-12-15,CIP
29247781,29275188,2006-12-15,CIP
29247782,29275176,2006-12-15,CIP
29247783,29275180,2006-12-15,CIP
29247783,29275181,2006-12-15,CIP
29247784,29275191,2006-12-15,CIP
29247785,29275178,2006-12-15,CIP
29247786,29275183,2006-12-15,CIP
29247790,29295958,2007-10-11,DIV
29247790,29295961,2007-10-11,DIV
29247799,29247965,2006-07-21,CIP
29247799,29247968,2006-07-21,CIP
29247799,29247966,2006-07-21,CIP
29247799,29247967,2006-07-21,CIP
29247799,29247964,2006-07-21,CIP
29247836,29282235,2007-07-14,CIP
29247841,29276123,2007-01-16,CIP
29247851,29288404,2007-06-08,DIV
29247858,29302116,2008-01-10,DIV
29247863,29296970,2007-10-31,DIV
29247875,29282072,2007-07-11,DIV
29247911,29281855,2007-07-03,DIV
29247928,11608875,2006-12-11,CIP
29247928,29319011,2008-06-02,DIV
29247938,11534625,2006-09-22,CIP
29247938,13915379,2013-06-11,CIP
29247938,PCT/US06/37006,2006-09-22,CON
29247938,12973720,2010-12-20,CIP
29247938,29296784,2007-10-29,CIP
29247938,29278226,2007-03-22,CIP
29247939,29247992,2006-07-24,CIP
29247961,29277282,2007-02-20,DIV
29247961,29277281,2007-02-20,DIV
29247962,11534625,2006-09-22,CIP
29247962,PCT/US06/37006,2006-09-22,CON
29247962,12973720,2010-12-20,CIP
29247962,13915379,2013-06-11,CIP
29247978,29333831,2009-03-16,DIV
29247978,29333829,2009-03-16,DIV
29247981,29297236,2007-11-07,DIV
29247987,29321514,2008-07-17,DIV
29247999,29248730,2006-08-30,CIP
29248033,12973720,2010-12-20,CIP
29248033,13915379,2013-06-11,CIP
29248033,11534625,2006-09-22,CIP
29248033,PCT/US06/37006,2006-09-22,CON
29248051,29296193,2007-10-16,DIV
29248053,29296540,2007-10-23,DIV
29248072,29295340,2007-09-26,DIV
29248072,29295065,2007-09-20,DIV
29248075,PCT/US07/02457,2007-01-29,CON
29248075,11828960,2007-07-26,CIP
29248083,29295353,2007-09-27,DIV
29248083,29295329,2007-09-26,DIV
29248092,11620013,2007-01-04,CIP
29248093,11620013,2007-01-04,CIP
29248102,29275300,2006-12-20,CIP
29248104,29304739,2008-03-06,DIV
29248104,29320824,2008-07-03,DIV
