application_number,parent_application_number,parent_filing_date,continuation_type
08501278,08208755,1994-03-09,CON
08501279,07968686,1992-10-30,CON
08501287,08243777,1994-05-17,CON
08501290,08082610,1993-06-24,CIP
08501290,08257281,1994-06-09,CIP
08501290,08291843,1994-08-17,CON
08501293,07914904,1992-07-16,CON
08501298,08239973,1994-05-09,DIV
08501299,08035582,1993-03-23,DIV
08501304,07463279,1990-01-10,CIP
08501304,07723250,1991-06-28,DIV
08501304,07909077,1992-07-02,DIV
08501304,08239724,1994-05-09,DIV
08501313,08234544,1994-04-28,CIP
08501328,08375098,1995-01-19,CIP
08501328,08180576,1994-01-12,CON
08501336,08320072,1994-10-07,CIP
08501343,08003707,1993-01-13,CON
08501343,08300111,1994-09-02,DIV
08501351,08100936,1993-08-03,CON
08501356,08378860,1995-01-26,DIV
08501356,08098942,1993-07-27,CIP
08501360,07823235,1992-01-21,CON
08501360,08308108,1994-04-19,CON
08501371,08250388,1994-05-27,DIV
08501375,08401234,1995-03-09,DIV
08501376,08107193,1993-08-17,CON
08501388,08079515,1993-06-18,CON
08501390,07990865,1992-12-15,DIV
08501390,08247940,1994-05-24,CON
08501397,08287191,1994-08-08,CIP
08501428,08236368,1994-04-29,CON
08501430,07985836,1992-12-03,CON
08501430,08384625,1995-02-06,CON
08501431,08179339,1994-01-10,CON
08501432,08406628,1995-03-20,CIP
08501433,07771735,1991-10-04,CON
08501433,08247511,1994-05-23,CON
08501437,08218719,1994-03-25,CON
08501437,08435277,1995-05-05,CON
08501440,08212610,1994-03-11,DIV
08501452,08178847,1994-01-07,DIV
08501456,08139303,1993-10-19,CON
08501485,08315419,1994-09-30,CIP
08501487,07953644,1992-09-29,CON
08501491,07989790,1992-12-10,CIP
08501491,08080072,1993-06-21,CIP
08501491,08322980,1994-10-13,CIP
08501491,PCT/US94/06991,1994-06-21,CIP
08501492,08268585,1994-06-30,CON
08501506,08307924,1994-09-16,CIP
08501507,08303923,1994-09-09,CIP
08501512,08016818,1993-02-10,CON
08501513,08214138,1994-03-16,CON
08501515,08083428,1993-06-28,CON
08501515,08293770,1994-08-19,CON
08501518,08024532,1993-03-01,CON
08501519,08208104,1994-03-08,CON
08501532,08258978,1994-06-10,DIV
08501536,07553119,1990-07-13,CIP
08501536,07795987,1991-11-22,DIV
08501536,07908458,1992-07-06,CIP
08501536,08027257,1993-03-05,CIP
08501536,08096919,1993-07-23,CIP
08501536,08382650,1995-02-02,DIV
08501539,06942352,1986-12-16,REI
08501539,07585500,1991-09-20,CON
08501539,08055803,1993-04-29,CON
08501539,08186251,1994-01-24,CON
08501542,08109076,1993-08-19,CON
08501543,08249361,1994-05-27,CON
08501544,07694009,1991-04-30,REI
08501584,08333438,1994-11-02,CIP
08501587,08085444,1993-06-30,CON
08501589,08218794,1994-03-28,CON
08501590,08220994,1994-03-30,CON
08501591,08187978,1994-01-28,CON
08501596,08121594,1993-09-14,CON
08501597,07487720,1990-03-02,DIV
08501597,07869308,1992-04-16,CIP
08501600,07989790,1992-12-10,CIP
08501600,08080072,1993-06-21,CIP
08501600,08322980,1994-10-13,CIP
08501600,PCT/US94/06991,1994-06-21,CIP
08501626,08378860,1995-01-26,DIV
08501626,08098942,1993-07-27,CIP
08501629,08282873,1994-07-29,DIV
08501636,08207641,1994-03-08,CON
08501644,08379061,1995-01-27,DIV
08501644,08246527,1994-05-20,DIV
08501647,07165915,1988-03-10,CIP
08501647,07180740,1988-04-12,CON
08501647,08334398,1994-11-03,DIV
08501656,07531491,1990-05-31,CON
08501656,07949376,1992-09-23,CON
08501656,08348146,1994-11-28,DIV
08501660,08205363,1994-03-03,CIP
08501660,07756979,1991-09-09,CIP
08501660,07756980,1991-09-09,CIP
08501660,07756981,1991-09-09,CIP
08501660,07997177,1992-12-28,CIP
08501660,07999137,1992-12-31,CIP
08501660,08013024,1993-02-02,CIP
08501660,08319650,1994-10-07,DIV
08501661,08263200,1994-06-21,DIV
08501671,08310254,1994-09-21,CIP
08501679,08286507,1994-08-05,DIV
