application_number,child_application_number,child_filing_date,continuation_type
09371681,10306670,2002-11-27,CON
09371685,10139472,2002-05-06,CIP
09371685,PCT/US00/21476,2000-08-07,CON
09371685,10412966,2003-04-14,CIP
09371685,09874430,2001-06-04,CIP
09371687,PCT/US00/21840,2000-08-10,CON
09371687,12614789,2009-11-09,CON
09371692,PCT/US00/22149,2000-08-10,CON
09371696,09903383,2001-07-11,CON
09371697,90006600,2003-04-10,REX
09371697,PCT/US99/21215,1999-09-16,CON
09371697,11896091,2007-08-29,CON
09371697,10804299,2004-03-19,CIP
09371697,09397132,1999-09-16,CIP
09371697,10804872,2004-03-19,CON
09371697,90008296,2006-10-20,REX
09371700,10034324,2001-12-28,CON
09371707,PCT/US00/21258,2000-08-03,CON
09371708,10738429,2003-12-16,CON
09371710,09648386,2000-08-25,DIV
09371710,PCT/US00/21390,2000-08-04,CON
09371711,PCT/US00/19586,2000-07-13,CON
09371712,PCT/US00/19130,2000-07-13,CON
09371717,10229483,2002-08-28,DIV
09371717,11491736,2006-07-24,DIV
09371717,10229475,2002-08-28,DIV
09371717,11897888,2007-08-31,DIV
09371717,10229440,2002-08-28,DIV
09371717,13766912,2013-02-14,DIV
09371717,10229654,2002-08-28,DIV
09371717,10230045,2002-08-28,DIV
09371717,11897591,2007-08-31,DIV
09371722,10138674,2002-05-03,CIP
09371722,09870161,2001-05-29,CIP
09371722,PCT/US99/23942,1999-10-12,CON
09371722,11088219,2005-03-23,CIP
09371722,12170393,2008-07-09,CIP
09371729,09633304,2000-08-08,DIV
09371734,09920390,2001-07-31,CIP
09371737,PCT/US00/21890,2000-08-10,CON
09371740,PCT/US00/21105,2000-08-02,CON
09371741,PCT/US00/21216,2000-08-03,CON
09371747,11558288,2006-11-09,CIP
09371747,13464674,2012-05-04,CIP
09371747,11929807,2007-10-30,CON
09371747,13170118,2011-06-27,CON
09371747,10022276,2001-12-14,CON
09371747,10022148,2001-12-14,CIP
09371747,13170118,2011-06-27,CIP
09371747,09459150,1999-12-10,CIP
09371747,13849243,2013-03-22,CIP
09371747,13849243,2013-03-22,CON
09371747,13464674,2012-05-04,CON
09371747,11230944,2005-09-20,CIP
09371747,10437802,2003-05-13,CIP
09371747,11232818,2005-09-22,CON
09371747,10438167,2003-05-13,CON
09371747,12633719,2009-12-08,CON
09371747,12633719,2009-12-08,CIP
09371747,11929798,2007-10-30,CIP
09371753,09858394,2001-05-16,CON
09371753,10190415,2002-07-03,CON
09371754,10234882,2002-09-04,DIV
09371758,09923482,2001-08-07,CON
09371767,PCT/US99/19918,1999-08-31,CON
09371769,13680617,2012-11-19,CON
09371772,10306747,2002-11-27,CIP
09371772,10287949,2002-11-04,CIP
09371772,10726236,2003-12-02,CIP
09371772,09708690,2000-11-07,CIP
09371772,10712633,2003-11-13,CIP
09371774,10846181,2004-05-14,CON
09371774,09875082,2001-06-05,CON
09371775,PCT/US00/20649,2000-07-28,CON
09371776,11057487,2005-02-14,CON
09371776,10273971,2002-10-18,DIV
09371776,09589341,2000-06-07,CIP
09371781,14586379,2014-12-30,CON
09371781,12605168,2009-10-23,CON
09371781,13429128,2012-03-23,CON
09371781,12950749,2010-11-19,CON
09371781,13429142,2012-03-23,CON
09371781,10625493,2003-07-23,CON
09371781,14137420,2013-12-20,CON
09371782,PCT/US00/17876,2000-08-08,CON
09371797,09848890,2001-05-03,CON
09371807,PCT/US00/40546,2000-08-02,CON
09371811,10719418,2003-11-24,CON
09371812,PCT/US00/22134,2000-08-11,CON
09371812,10252954,2002-09-23,CON
09371812,10085994,2001-09-26,CON
09371821,09408336,1999-09-29,CIP
09371823,PCT/US00/19125,2000-07-12,CON
09371823,09772774,2001-01-30,DIV
09371823,09772777,2001-01-30,DIV
09371825,PCT/US99/23560,1999-10-08,CON
09371826,PCT/US00/21788,2000-08-10,CON
09371827,09898859,2001-07-03,DIV
09371827,10285957,2002-10-31,DIV
09371830,09850154,2001-05-08,CON
09371845,09877147,2001-06-11,DIV
09371847,10096841,2002-03-14,DIV
09371863,10060092,2002-01-31,CON
09371871,09712742,2000-11-14,CON
09371872,09698620,2000-10-27,DIV
09371878,09854896,2001-05-11,CIP
09371880,PCT/US00/21607,2000-08-09,CON
09371880,09740137,2000-12-18,CIP
09371880,09392596,1999-09-09,CIP
09371891,09760312,2001-01-10,CIP
09371900,10186950,2002-07-02,CON
09371907,10369354,2003-02-18,CON
09371907,10833532,2004-04-26,CON
09371913,09967805,2001-09-28,CON
09371913,10631407,2003-07-30,CON
09371916,11050578,2005-02-03,CON
09371955,10119853,2002-04-11,DIV
09371955,10985960,2004-11-12,CON
09371955,11431817,2006-05-11,CON
09371957,09845213,2001-05-01,DIV
09371966,09545700,2000-04-07,DIV
09371968,09858531,2001-05-16,CON
09371968,PCT/US99/18210,1999-08-11,CON
09371974,09797145,2001-02-28,CON
09371981,09917488,2001-07-27,DIV
09371985,09824303,2001-04-02,DIV
09371985,10200797,2002-07-22,DIV
09371987,09802759,2001-03-08,DIV
09371987,09800902,2001-03-07,DIV
09371988,10000234,2001-11-30,DIV
09371991,PCT/US00/21763,2000-08-09,CON
09371991,09883548,2001-06-18,CIP
09371991,09883717,2001-06-18,CIP
09371991,09757949,2001-01-10,CIP
09371991,09940225,2001-08-27,CON
09371993,09753331,2000-12-30,CIP
09371993,PCT/US00/14114,2000-05-23,CON
09371994,09637288,2000-08-11,CIP
09371994,09710809,2000-11-09,CIP
09371994,PCT/US00/22043,2000-08-11,CON
09372004,10609109,2003-06-27,CON
09372007,10820128,2004-04-08,CON
09372007,10157978,2002-05-31,CON
09372007,10379543,2003-03-06,CON
09372009,09996624,2001-11-28,DIV
09372012,PCT/US00/18997,2000-07-13,CON
09372015,PCT/US00/20927,2000-07-31,CON
09372016,09915670,2001-07-26,DIV
09372021,09721048,2000-11-22,DIV
09372022,09545352,2000-04-07,CON
09372022,09545351,2000-04-07,CON
09372022,10265505,2002-10-07,CON
09372039,10614054,2003-07-08,DIV
09372040,10226292,2002-08-23,DIV
09372040,10342300,2003-01-15,DIV
09372040,10226187,2002-08-23,DIV
09372040,10226291,2002-08-23,DIV
09372040,09950783,2001-09-13,DIV
09372041,09945650,2001-09-05,CON
09372043,09733906,2000-12-12,CON
09372045,PCT/US00/21728,2000-08-10,CON
09372053,10307359,2002-12-02,CON
09372075,09617024,2000-07-14,DIV
09372087,09649095,2000-08-28,CIP
09372102,09975560,2001-10-12,CIP
09372106,09711565,2000-11-13,DIV
09372106,10423074,2003-04-25,DIV
