application_number,child_application_number,child_filing_date,continuation_type
13570526,14610011,2015-01-30,CIP
13570526,14642593,2015-03-09,CIP
13570526,14513878,2014-10-14,CIP
13570527,14456082,2014-08-11,DIV
13570529,14628867,2015-02-23,DIV
13570529,PCT/US13/54047,2013-08-08,CON
13570534,13897544,2013-05-20,DIV
13570535,14107398,2013-12-16,CON
13570536,14250128,2014-04-10,CON
13570545,13741498,2013-01-15,DIV
13570550,PCT/US13/53947,2013-08-07,CON
13570552,13872219,2013-04-29,CIP
13570558,14678700,2015-04-03,CON
13570563,14567981,2014-12-11,CIP
13570563,14336951,2014-07-21,CIP
13570575,PCT/US13/51223,2013-07-19,CON
13570579,PCT/US13/46680,2013-06-20,CON
13570583,14454521,2014-08-07,DIV
13570593,PCT/US13/53400,2013-08-02,CON
13570600,PCT/US13/43279,2013-05-30,CON
13570607,13867210,2013-04-22,CON
13570612,PCT/US12/50276,2012-08-10,CON
13570622,PCT/US13/53556,2013-08-05,CON
13570624,14246488,2014-04-07,CON
13570634,14467461,2014-08-25,DIV
13570635,14717948,2015-05-20,CON
13570635,14715107,2015-05-18,CON
13570643,PCT/US13/54295,2013-08-09,CON
13570647,14301759,2014-06-11,CON
13570647,14816778,2015-08-03,CON
13570651,14196358,2014-03-04,CON
13570657,14030333,2013-09-18,CON
13570658,14262576,2014-04-25,CON
13570658,14815579,2015-07-31,CON
13570659,14164904,2014-01-27,CON
13570664,14078732,2013-11-13,CON
13570670,14563580,2014-12-08,CON
13570670,14496890,2014-09-25,CON
13570671,14101724,2013-12-10,DIV
13570671,14068149,2013-10-31,DIV
13570680,13571439,2012-08-10,CON
13570681,14539679,2015-02-12,CON
13570685,13872422,2013-04-29,CIP
13570685,13666342,2012-11-01,CIP
13570688,PCT/US13/53707,2013-08-06,CON
13570690,PCT/US12/50147,2012-08-09,CON
13570691,PCT/US12/63636,2012-11-06,CON
13570696,14174257,2014-02-06,CON
13570701,PCT/US13/39720,2013-05-06,CON
13570708,14845059,2015-09-03,CON
13570710,14135206,2013-12-19,CON
13570712,PCT/US13/51017,2013-07-18,CON
13570713,14834862,2015-08-25,DIV
13570716,14791185,2015-07-02,REI
13570719,PCT/US12/63000,2012-11-01,CON
13570720,13602399,2012-09-04,CON
13570725,13962032,2013-08-08,CIP
13570731,PCT/US12/67521,2012-12-03,CON
13570735,14173699,2014-02-05,DIV
13570739,14074400,2013-11-07,CON
13570746,PCT/US12/69817,2012-12-14,CON
13570747,14075470,2013-11-08,CON
13570749,14503581,2014-10-01,CON
13570751,13967680,2013-08-15,CON
13570754,13947294,2013-07-22,CON
13570755,14558816,2014-12-03,CON
13570759,14680537,2015-04-07,CIP
13570762,13660756,2012-10-25,CIP
13570762,PCT/US13/54109,2013-08-08,CON
13570762,14174832,2014-02-06,CIP
13570767,14175004,2014-02-07,CIP
13570772,14596293,2015-01-14,DIV
13570779,PCT/US12/69817,2012-12-14,CON
13570793,14161497,2014-01-22,CON
13570797,PCT/US13/54339,2013-08-09,CON
13570806,14175004,2014-02-07,CIP
13570808,14376327,2014-08-01,CIP
13570808,PCT/US13/24309,2013-02-01,CON
13570814,PCT/US13/54131,2013-08-08,CON
13570816,14815643,2015-07-31,CON
13570820,14578201,2014-12-19,CIP
13570820,PCT/US12/50441,2012-08-10,CON
13570822,14045117,2013-10-03,DIV
13570823,PCT/US13/34899,2013-04-02,CON
13570823,14822612,2015-08-10,DIV
13570826,PCT/US12/69817,2012-12-14,CON
13570831,14388683,2014-09-26,CIP
13570831,14023376,2013-09-10,CON
13570831,13609146,2012-09-10,CIP
13570831,PCT/US12/54507,2012-09-10,CON
13570831,PCT/US13/31792,2013-03-14,CON
13570831,13605915,2012-09-06,CIP
13570831,13653394,2012-10-16,CIP
13570831,14388723,2014-09-26,CIP
13570831,PCT/US13/37018,2013-04-17,CON
13570837,13718909,2012-12-18,CON
13570839,PCT/US13/39819,2013-05-07,CON
13570839,13721461,2012-12-20,CIP
13570840,14012120,2013-08-28,CON
13570853,14858583,2015-09-18,CON
13570854,14753605,2015-06-29,CON
13570855,14487319,2014-09-16,CON
13570856,PCT/US12/50327,2012-08-10,CON
13570860,14376317,2014-08-01,CIP
13570860,PCT/US13/24392,2013-02-01,CON
13570867,14859135,2015-09-18,CON
13570868,14594376,2015-01-12,CON
13570876,14498605,2014-09-26,CON
13570878,14083980,2013-11-19,CON
13570880,14050416,2013-10-10,CIP
13570880,14849635,2015-09-10,CIP
13570880,14884806,2015-10-16,CIP
13570880,14048062,2013-10-08,CIP
13570880,14050417,2013-10-10,CIP
13570881,PCT/US13/53820,2013-08-06,CON
13570889,14671947,2015-03-27,CON
13570892,13693708,2012-12-04,CIP
13570895,PCT/US13/54418,2013-08-09,CON
13570897,PCT/US12/50350,2012-08-10,CON
13570903,13897241,2013-05-17,CON
13570908,PCT/US13/54416,2013-08-09,CON
13570913,14287381,2014-05-27,CON
13570915,PCT/US13/52319,2013-07-26,CON
13570916,13584323,2012-08-13,CON
13570918,14330128,2014-07-14,DIV
13570924,PCT/US13/53703,2013-08-06,CON
13570925,14039175,2013-09-27,CON
13570927,14567256,2014-12-11,DIV
13570930,13736162,2013-01-08,CIP
13570930,PCT/US13/53908,2013-08-07,CON
13570933,PCT/US13/54186,2013-08-08,CON
13570938,13760992,2013-02-06,CON
