application_number,child_application_number,child_filing_date,continuation_type
06515077,06778828,1985-09-23,DIV
06515093,06564777,1983-12-27,CON
06515095,06925029,1986-10-30,DIV
06515095,07048343,1987-05-11,DIV
06515115,06865954,1986-05-19,CON
06515125,06821318,1986-01-22,CIP
06515125,06619258,1984-06-15,CIP
06515125,06768310,1985-08-22,CIP
06515132,06653079,1984-09-21,CIP
06515149,06695756,1985-01-29,CON
06515187,06804238,1985-12-03,CON
06515188,06837032,1986-03-06,DIV
06515200,06582893,1984-02-23,CIP
06515222,90004627,1997-05-09,REX
06515222,90004673,1997-06-04,REX
06515227,07127513,1987-11-30,CON
06515228,06668434,1984-11-05,DIV
06515230,06868895,1986-05-27,CON
06515231,06704103,1985-02-21,DIV
06515237,06665890,1984-10-29,CIP
06515242,06813452,1985-12-26,CON
06515243,06777144,1985-10-29,DIV
06515246,06564776,1983-12-27,CON
06515266,07251400,1988-09-30,CON
06515267,06771167,1985-09-03,CON
06515275,06858811,1986-05-02,CON
06515275,06689859,1985-01-09,CON
06515282,06721076,1985-04-08,CIP
06515287,06770292,1985-08-27,CON
06515296,06707851,1985-03-04,DIV
06515307,07052532,1987-05-20,CON
06515307,06701132,1985-02-13,CON
06515320,06773089,1985-09-04,CON
06515320,06655996,1984-09-28,CON
06515321,06890059,1986-09-12,CIP
06515321,06737360,1985-05-23,CIP
06515324,90004973,1998-04-23,CIP
06515324,90005402,1999-06-23,CIP
06515324,90005313,1999-03-12,CIP
06515324,06523910,1983-08-16,CIP
06515324,90005132,1998-11-20,CIP
06515331,06746418,1985-06-19,DIV
06515341,06723443,1985-04-15,DIV
06515342,06764669,1985-08-09,CIP
06515342,07013163,1987-02-11,CIP
06515346,06704305,1985-02-21,CIP
06515350,06676570,1984-11-30,CON
06515358,06741861,1985-06-06,CON
06515358,06816749,1986-01-07,CON
06515358,06850761,1986-04-11,CON
06515358,06818331,1986-01-13,CON
06515358,07017937,1987-02-24,CON
06515360,06734758,1985-05-15,CON
06515363,06693314,1985-01-22,CON
06515372,06657531,1984-10-04,CIP
06515387,06802073,1985-11-26,CON
06515390,06628829,1984-07-09,DIV
06515394,06682684,1984-12-17,CIP
06515411,06689357,1985-01-07,DIV
06515412,06803355,1985-12-02,CIP
06515412,06886756,1986-07-15,CIP
06515416,06746219,1985-06-18,CON
06515420,06818917,1986-01-15,CON
06515429,06839816,1986-03-12,CON
06515431,06828591,1986-02-10,CON
06515431,06624797,1984-06-26,CON
06515439,06732814,1985-05-10,CON
06515441,07401702,1989-09-01,DIV
06515457,06843122,1986-03-24,CON
06515470,06789779,1985-10-21,CIP
06515471,06591050,1984-03-19,DIV
06515493,07068721,1987-06-29,CIP
06515497,06765556,1985-08-12,CON
06515499,06917291,1986-10-08,CON
06515501,06917685,1986-10-10,DIV
06515520,07010428,1987-02-03,DIV
06515526,07399421,1989-08-28,DIV
06515526,07555791,1990-07-24,DIV
06515526,07045236,1987-05-01,DIV
06515526,07842618,1992-02-27,DIV
06515526,07206921,1988-05-31,DIV
06515529,07584490,1990-09-17,CON
06515529,07054897,1987-05-28,CON
06515529,06895582,1986-05-13,CON
06515529,07269318,1988-11-10,CON
06515535,06653476,1984-09-20,CON
06515555,06931670,1987-01-20,CON
06515557,06766517,1985-08-19,CON
06515557,06636169,1984-07-31,CON
06515557,06799255,1985-11-18,CON
06515557,06946145,1986-12-23,CON
06515557,06946150,1986-12-23,CON
06515559,06596835,1984-04-04,CIP
06515562,06750925,1985-07-01,CIP
06515563,06749881,1985-06-27,CIP
06515564,06750691,1985-06-28,CIP
