application_number,child_application_number,child_filing_date,continuation_type
13245135,13803297,2013-03-14,CON
13245142,13958935,2013-08-05,CON
13245150,14097301,2013-12-05,CON
13245156,13531678,2012-06-25,DIV
13245157,14138772,2013-12-23,DIV
13245160,PCT/US12/54755,2012-09-12,CON
13245160,13601236,2012-08-31,CIP
13245160,PCT/US12/54813,2012-09-12,CON
13245160,PCT/US12/55012,2012-09-13,CON
13245160,13731738,2012-12-31,CIP
13245163,PCT/US12/46839,2012-07-16,CON
13245177,PCT/US12/56213,2012-09-20,CON
13245182,PCT/US12/56873,2012-09-24,CON
13245183,14728541,2015-06-02,DIV
13245192,14088532,2013-11-25,DIV
13245194,14804576,2015-07-21,DIV
13245196,13921478,2013-06-19,DIV
13245197,13760996,2013-02-06,CON
13245197,14094055,2013-12-02,CON
13245202,14151422,2014-01-09,CON
13245209,14061285,2013-10-23,DIV
13245213,14075184,2013-11-08,CON
13245225,PCT/US11/53431,2011-09-27,CON
13245225,14554214,2014-11-26,CON
13245229,PCT/US12/56262,2012-09-20,CON
13245234,13920368,2013-06-18,CON
13245235,14225844,2014-03-26,CON
13245239,13788605,2013-03-07,CON
13245241,14627165,2015-02-20,DIV
13245244,14074806,2013-11-08,CON
13245249,13722250,2012-12-20,CON
13245254,14029354,2013-09-17,CON
13245258,PCT/US12/55713,2012-09-17,CON
13245264,13678467,2012-11-15,CON
13245264,14575551,2014-12-18,CON
13245264,14134716,2013-12-19,CON
13245268,14861299,2015-09-22,CON
13245268,14861348,2015-09-22,DIV
13245269,14101687,2013-12-10,CON
13245269,13681885,2012-11-20,CON
13245269,13447486,2012-04-16,CON
13245271,PCT/US12/57292,2012-09-26,CON
13245272,PCT/US12/55775,2012-09-17,CON
13245279,13867326,2013-04-22,DIV
13245280,13352643,2012-01-18,CIP
13245281,13600344,2012-08-31,CON
13245282,14226879,2014-03-27,CIP
13245286,14464917,2014-08-21,CON
13245299,13760663,2013-02-06,DIV
13245305,14657655,2015-03-13,CON
13245306,PCT/US12/42388,2012-06-14,CON
13245309,14269892,2014-05-05,CIP
13245309,13759768,2013-02-05,CIP
13245309,14176932,2014-02-10,CON
13245311,14499524,2014-09-29,DIV
13245312,13608733,2012-09-10,CON
13245312,14146905,2014-01-03,CON
13245316,PCT/US12/40944,2012-06-05,CON
13245317,PCT/US12/56834,2012-09-24,CON
13245318,13617496,2012-09-14,CON
13245319,14641160,2015-03-06,DIV
13245319,14641191,2015-03-06,DIV
13245319,14641173,2015-03-06,DIV
13245319,14641144,2015-03-06,DIV
13245319,14641206,2015-03-06,DIV
13245319,PCT/US12/57298,2012-09-26,CON
13245319,14559086,2014-12-03,DIV
13245319,14856724,2015-09-17,DIV
13245320,14737573,2015-06-12,CON
13245324,13543045,2012-07-06,CON
13245325,13776564,2013-02-25,CON
13245326,14226938,2014-03-27,DIV
13245328,14604790,2015-01-26,DIV
13245330,13476157,2012-05-21,DIV
13245330,13967845,2013-08-15,DIV
13245333,13889618,2013-05-08,CON
13245333,14255092,2014-04-17,CON
13245334,14467131,2014-08-25,CON
13245335,13478692,2012-05-23,CON
13245340,13443363,2012-04-10,CON
13245353,14924449,2015-10-27,CON
13245358,14147913,2014-01-06,CON
13245361,13951270,2013-07-25,CON
13245362,14623003,2015-02-16,CON
13245365,13908891,2013-06-03,CON
13245365,14629352,2015-02-23,CON
13245372,13339680,2011-12-29,CIP
13245372,13339668,2011-12-29,CIP
13245376,14050675,2013-10-10,CON
13245376,14460387,2014-08-15,CON
13245383,13633023,2012-10-01,CON
13245394,PCT/US12/56269,2012-09-20,CON
13245398,13623791,2012-09-20,CON
13245403,14304163,2014-06-13,CON
13245405,13626286,2012-09-25,CIP
13245405,PCT/US12/57081,2012-09-25,CON
13245405,14688364,2015-04-16,CIP
13245405,13705792,2012-12-05,CON
13245408,13610313,2012-09-11,CON
13245408,14054306,2013-10-15,CON
13245408,14520153,2014-10-21,CON
13245412,14803827,2015-07-20,DIV
13245413,13681115,2012-11-19,CON
13245416,13682431,2012-11-20,CON
13245417,13758377,2013-02-04,CON
13245417,14331914,2014-07-15,CON
13245420,13708500,2012-12-07,DIV
13245420,14185783,2014-02-20,DIV
13245421,PCT/US12/57280,2012-09-26,CON
13245423,13975852,2013-08-26,CON
13245424,PCT/US12/20150,2012-01-04,CON
13245427,14210315,2014-03-13,CIP
13245427,13831414,2013-03-14,CON
13245427,13854593,2013-04-01,CON
13245427,14210302,2014-03-13,CIP
13245430,14656255,2015-03-12,CON
13245435,13686801,2012-11-27,CON
13245436,14643773,2015-03-10,CON
13245436,14105750,2013-12-13,CON
13245437,PCT/US12/55321,2012-09-14,CON
13245441,14099408,2013-12-06,DIV
13245442,13633565,2012-10-02,CON
13245448,PCT/US12/57046,2012-09-25,CON
13245448,14569012,2014-12-12,CON
13245450,13446970,2012-04-13,CON
13245450,13446944,2012-04-13,CON
13245450,13447050,2012-04-13,CON
13245450,13447026,2012-04-13,CON
13245450,13398693,2012-02-16,CON
13245450,13446992,2012-04-13,CON
13245454,29467639,2013-09-20,CIP
13245454,29467644,2013-09-20,CIP
13245454,29467635,2013-09-20,CIP
13245454,14068185,2013-10-31,CIP
13245454,29498344,2014-08-01,CIP
13245454,29467633,2013-09-20,CIP
13245456,14230322,2014-03-31,CON
13245456,14848455,2015-09-09,CON
13245457,14665801,2015-03-23,CON
13245458,13457004,2012-04-26,CIP
13245459,13904836,2013-05-29,DIV
13245459,14572391,2014-12-16,DIV
13245461,14529614,2014-10-31,CON
13245461,14046165,2013-10-04,CON
13245461,13651999,2012-10-15,CON
13245463,13746079,2013-01-21,CON
13245466,14206724,2014-03-12,CIP
13245466,14206686,2014-03-12,CIP
13245466,14206769,2014-03-12,CIP
13245466,PCT/US12/57061,2012-09-25,CON
13245466,13750094,2013-01-25,CIP
13245467,PCT/US11/53424,2011-09-27,CON
13245474,13914487,2013-06-10,CON
13245477,PCT/US12/56554,2012-09-21,CON
13245478,PCT/US11/53443,2011-09-27,CON
13245482,13706812,2012-12-06,CIP
13245482,13626969,2012-09-26,CIP
13245483,13678317,2012-11-15,CON
13245487,PCT/US12/57307,2012-09-26,CON
13245488,13764495,2013-02-11,CON
13245488,PCT/US12/57314,2012-09-26,CON
13245488,14071074,2013-11-04,CON
13245488,13451939,2012-04-20,CON
13245490,13735364,2013-01-07,DIV
13245490,13481113,2012-05-25,DIV
13245492,13426286,2012-03-21,CIP
13245492,13469883,2012-05-11,CON
13245492,13469845,2012-05-11,CIP
13245498,13923792,2013-06-21,CON
13245501,14187662,2014-02-24,CON
13245502,13790088,2013-03-08,CON
13245502,14696088,2015-04-24,CON
13245503,13472441,2012-05-15,CON
13245507,13482752,2012-05-29,CON
13245508,PCT/US12/56832,2012-09-24,CON
13245511,13919563,2013-06-17,CON
13245514,PCT/US12/55021,2012-09-13,CON
13245516,14231029,2014-03-31,CON
13245516,14498836,2014-09-26,CIP
13245518,13565670,2012-08-02,CIP
13245518,PCT/US12/56984,2012-09-25,CON
13245522,13452660,2012-04-20,CON
13245522,13452655,2012-04-20,DIV
13245522,13592075,2012-08-22,CON
13245522,13452664,2012-04-20,CON
13245522,13452648,2012-04-20,DIV
13245527,14724518,2015-05-28,CON
13245527,14724426,2015-05-28,CON
13245527,14028344,2013-09-16,CON
13245537,14529335,2014-10-31,DIV
13245538,13774239,2013-02-22,DIV
13245539,14196875,2014-03-04,CON
13245544,13486913,2012-06-01,CON
13245544,PCT/US12/56934,2012-09-24,CON
13245547,14018335,2013-09-04,CON
13245549,14172691,2014-02-04,CON
13245551,13657502,2012-10-22,CON
13245555,14562644,2014-12-05,CON
13245555,PCT/US11/53762,2011-09-28,CON
13245555,14316734,2014-06-26,CON
13245568,14551438,2014-11-24,CON
13245568,13852167,2013-03-28,CON
13245571,14543519,2014-11-17,CON
13245572,14169402,2014-01-31,DIV
13245572,13854297,2013-04-01,DIV
13245574,14298030,2014-06-06,DIV
13245575,13945661,2013-07-18,CIP
13245575,14159410,2014-01-20,CIP
13245578,13902032,2013-05-24,CON
13245578,13477865,2012-05-22,CON
13245578,14084422,2013-11-19,CON
13245578,14568454,2014-12-12,CON
13245581,14792352,2015-07-06,DIV
13245582,13325352,2011-12-14,CON
13245582,PCT/US12/57148,2012-09-25,CON
13245583,13658255,2012-10-23,CON
13245585,PCT/US12/56985,2012-09-25,CON
13245589,14515133,2014-10-15,DIV
13245590,14281716,2014-05-19,CON
13245590,14636099,2015-03-02,CON
13245590,13780858,2013-02-28,CON
13245592,13309384,2011-12-01,CIP
13245592,14171268,2014-02-03,CIP
13245593,13369940,2012-02-09,CON
13245598,14810399,2015-07-27,CON
13245601,13950213,2013-07-24,CON
13245601,PCT/US12/57148,2012-09-25,CON
13245601,13572505,2012-08-10,CON
13245601,13950213,2013-07-24,CIP
13245601,13441812,2012-04-06,CIP
13245611,14510406,2014-10-09,CON
13245622,13367339,2012-02-06,CON
13245625,14203146,2014-03-10,CON
13245636,14464439,2014-08-20,CON
13245636,14464474,2014-08-20,CON
13245636,PCT/US12/56231,2012-09-20,CON
13245646,PCT/US12/56311,2012-09-20,CON
13245646,14680905,2015-04-07,CON
13245646,14160477,2014-01-21,CON
13245646,14523480,2014-10-24,CON
13245649,14291330,2014-05-30,CON
13245649,14291372,2014-05-30,CON
13245650,90012704,2012-10-15,REX
13245651,14164500,2014-01-27,CON
13245652,14799656,2015-07-15,CON
13245655,14721013,2015-05-26,CON
13245657,14300044,2014-06-09,DIV
13245673,14216422,2014-03-17,CON
13245673,13564212,2012-08-01,CON
13245674,14482581,2014-09-10,CON
13245674,PCT/US11/54742,2011-10-04,CON
13245682,14810467,2015-07-27,CIP
13245682,13424893,2012-03-20,DIV
13245682,PCT/US12/29509,2012-03-16,CON
13245682,13457414,2012-04-26,CIP
13245685,29470755,2013-10-24,CON
13245685,14680572,2015-04-07,CIP
13245685,29470752,2013-10-24,CON
13245687,14317711,2014-06-27,CON
13245698,PCT/US12/57331,2012-09-26,CON
13245700,PCT/US12/57035,2012-09-25,CON
13245703,13618361,2012-09-14,CON
13245705,14266096,2014-04-30,CON
13245711,13663190,2012-10-29,CIP
13245725,14078475,2013-11-12,CIP
13245725,13585785,2012-08-14,CIP
13245725,PCT/US12/56660,2012-09-21,CON
13245728,14316757,2014-06-26,CON
13245728,14180311,2014-02-13,CON
13245728,14180325,2014-02-13,CON
13245728,14180299,2014-02-13,CON
13245728,14864417,2015-09-24,CON
13245728,14924659,2015-10-27,CON
13245728,14077178,2013-11-11,CON
13245737,13858524,2013-04-08,CON
13245738,13797983,2013-03-12,CON
13245738,13798011,2013-03-12,DIV
13245738,13797989,2013-03-12,DIV
13245739,14864401,2015-09-24,CON
13245745,14288290,2014-05-27,CON
13245748,13769164,2013-02-15,CON
13245760,13892832,2013-05-13,CON
13245762,PCT/US12/34045,2012-04-18,CON
13245767,PCT/US11/53519,2011-09-27,CON
13245768,13849329,2013-03-22,CON
13245770,PCT/US12/51546,2012-08-20,CON
13245776,14871834,2015-09-30,CON
13245776,13956254,2013-07-31,CON
13245776,PCT/US11/53465,2011-09-27,CON
13245777,13549076,2012-07-13,CON
13245778,13913045,2013-06-07,DIV
13245780,PCT/US12/56562,2012-09-21,CON
13245780,14347314,2014-03-26,CON
13245782,PCT/US12/56562,2012-09-21,CON
13245782,14258726,2014-04-22,CON
13245782,14347314,2014-03-26,CON
13245783,PCT/US12/57399,2012-09-26,CON
13245783,14248331,2014-04-08,CIP
13245783,14247196,2014-04-07,CIP
13245786,13759886,2013-02-05,CON
13245786,14171496,2014-02-03,CON
13245791,29408417,2011-12-12,CIP
13245791,PCT/US12/29697,2012-03-19,CON
13245796,PCT/US11/53333,2011-09-26,CON
13245797,14195645,2014-03-03,CON
13245797,13525671,2012-06-18,CON
13245797,13732570,2013-01-02,CON
13245801,14252713,2014-04-14,CON
13245803,14010473,2013-08-26,CIP
13245804,13273187,2011-10-13,CIP
13245804,13272212,2011-10-12,CIP
13245812,PCT/US12/46765,2012-07-13,CON
13245819,PCT/US11/53498,2011-09-27,CON
13245822,PCT/US12/56730,2012-09-21,CON
13245822,13245864,2011-09-27,CON
13245822,13863249,2013-04-15,CON
13245822,13245852,2011-09-26,CON
13245822,14685390,2015-04-13,CIP
13245822,13246117,2011-09-27,CON
13245822,14847626,2015-09-08,CON
13245822,13863281,2013-04-15,CON
13245822,13246112,2011-09-27,CON
13245824,13676088,2012-11-13,CON
13245824,13372482,2012-02-13,CON
13245824,13539282,2012-06-29,CON
13245826,14611081,2015-01-30,CON
13245826,14177155,2014-02-10,CON
13245828,13536822,2012-06-28,CON
13245832,14186822,2014-02-21,DIV
13245833,14076073,2013-11-08,CON
13245836,14188585,2014-02-24,CON
13245836,13731733,2012-12-31,CON
13245840,13524178,2012-06-15,CIP
13245840,PCT/US12/57146,2012-09-25,CON
13245840,13775367,2013-02-25,CON
13245841,13945240,2013-07-18,CON
13245841,13663190,2012-10-29,CON
13245841,13565527,2012-08-02,CON
13245843,13524178,2012-06-15,CIP
13245843,PCT/US12/57146,2012-09-25,CON
13245845,PCT/US12/57154,2012-09-25,CON
13245850,13524178,2012-06-15,CON
13245850,PCT/US12/57146,2012-09-25,CON
13245850,13312373,2011-12-06,CON
13245853,PCT/US12/57156,2012-09-25,CON
13245855,PCT/US12/57146,2012-09-25,CON
13245855,13524178,2012-06-15,CIP
13245857,PCT/US12/29840,2012-03-20,CON
13245861,14216422,2014-03-17,CON
13245861,13945664,2013-07-18,CON
13245865,13252734,2011-10-04,CIP
13245891,13625889,2012-09-25,CIP
13245891,14700203,2015-04-30,CIP
13245900,PCT/US12/42684,2012-06-15,CON
13245905,14872220,2015-10-01,DIV
13245912,14246212,2014-04-07,DIV
13245923,PCT/US12/56530,2012-09-21,CON
13245928,PCT/US11/53860,2011-09-29,CON
13245931,PCT/US12/54978,2012-09-13,CON
13245933,PCT/US11/54665,2011-10-04,CON
13245935,13987611,2013-05-15,CON
13245935,13970077,2013-08-19,CON
13245936,PCT/US12/32719,2012-04-09,CON
13245937,14076356,2013-11-11,CON
13245939,14100752,2013-12-09,CON
13245940,14107205,2013-12-16,DIV
13245947,PCT/US12/54978,2012-09-13,CON
13245953,PCT/US11/53398,2011-09-27,CON
13245957,PCT/US12/54978,2012-09-13,CON
13245964,PCT/US12/54978,2012-09-13,CON
13245970,14023203,2013-09-10,CIP
13245971,PCT/US12/54978,2012-09-13,CON
13245974,29409970,2011-12-30,CIP
13245976,13862490,2013-04-15,CON
13245977,PCT/US12/54978,2012-09-13,CON
13245981,13463098,2012-05-03,CON
13245981,13625172,2012-09-24,CON
13245981,14047519,2013-10-07,CON
13245985,PCT/US12/43484,2012-06-21,CON
13245987,14798851,2015-07-14,CON
13245994,13769475,2013-02-18,CON
13245994,14451985,2014-08-05,CON
13245997,13904081,2013-05-29,DIV
13246004,14088744,2013-11-25,CON
13246004,13749029,2013-01-24,CON
13246004,14677111,2015-04-02,CON
13246007,13677417,2012-11-15,DIV
13246013,13528033,2012-06-20,CON
13246013,PCT/US12/48483,2012-07-27,CON
13246013,13902262,2013-05-24,CON
13246014,13770937,2013-02-19,CON
13246016,PCT/US12/56551,2012-09-21,CON
13246016,14224968,2014-03-25,CIP
13246022,14742836,2015-06-18,DIV
13246027,14579582,2014-12-22,CON
13246028,13423188,2012-03-17,CON
13246039,PCT/US12/50193,2012-08-09,CON
13246042,PCT/US12/57675,2012-09-27,CON
13246044,13564858,2012-08-02,CON
13246048,PCT/US12/28015,2012-03-07,CON
13246062,14316394,2014-06-26,CIP
13246069,14659762,2015-03-17,DIV
13246076,PCT/US11/63091,2011-12-02,CON
13246076,13655321,2012-10-18,CON
13246083,PCT/US12/57442,2012-09-27,CON
13246091,13523064,2012-06-14,CON
13246091,13715829,2012-12-14,CON
13246097,PCT/US12/54385,2012-09-10,CON
13246097,13475262,2012-05-18,CIP
13246100,13862636,2013-04-15,CON
13246104,13933708,2013-07-02,CON
13246108,14207103,2014-03-12,CIP
13246108,PCT/US12/56470,2012-09-21,CON
13246113,13893847,2013-05-14,DIV
13246118,PCT/US11/53585,2011-09-28,CON
13246121,PCT/US12/56839,2012-09-24,CON
13246122,PCT/US12/57089,2012-09-25,CON
13246128,PCT/US11/53665,2011-09-28,CON
13246133,PCT/US11/53691,2011-09-28,CON
13246137,13525536,2012-06-18,CIP
13246140,13919178,2013-06-17,CON
13246146,14037633,2013-09-26,DIV
13246157,14555494,2014-11-26,CON
13246163,13723567,2012-12-21,DIV
13246169,13914067,2013-06-10,CON
13246172,13526712,2012-06-19,CIP
13246188,PCT/US12/56557,2012-09-21,CON
13246193,14105544,2013-12-13,CON
13246193,13778264,2013-02-27,CON
13246199,14478546,2014-09-05,CON
13246199,13766211,2013-02-13,CON
13246201,14846577,2015-09-04,CON
13246201,13748065,2013-01-23,CON
