application_number,child_application_number,child_filing_date,continuation_type
09568312,PCT/US00/23343,2000-08-24,CON
09568312,09838458,2001-04-19,CIP
09568315,10010167,2001-12-10,DIV
09568318,10319770,2002-12-13,CON
09568322,10429519,2003-05-05,CON
09568322,11851298,2007-09-06,CON
09568322,14141190,2013-12-26,CON
09568328,11026991,2004-12-30,CON
09568330,PCT/US00/12785,2000-05-10,CON
09568338,10799492,2004-03-12,REI
09568345,10040676,2001-12-29,CIP
09568348,10052191,2002-01-17,DIV
09568352,09930314,2001-08-15,CIP
09568355,11726976,2007-03-22,DIV
09568361,10322832,2002-12-18,DIV
09568361,09964101,2001-09-26,CIP
09568376,10261456,2002-09-30,DIV
09568380,09934683,2001-08-23,DIV
09568385,10730518,2003-12-08,CIP
09568385,10053261,2002-01-18,CIP
09568386,10827716,2004-04-20,CON
09568389,09921672,2001-08-03,DIV
09568390,10851690,2004-05-21,CON
09568391,10644431,2003-08-20,DIV
09568411,10138841,2002-05-03,DIV
09568421,10133643,2002-04-29,DIV
09568424,10177747,2002-06-20,DIV
09568424,09839642,2001-04-20,CIP
09568424,10695854,2003-10-30,CIP
09568424,13235251,2011-09-16,CIP
09568424,11054955,2005-02-11,CIP
09568424,09817828,2001-03-26,CIP
09568424,11190561,2005-07-26,CIP
09568424,11668422,2007-01-29,CIP
09568424,10420308,2003-04-22,CIP
09568425,11294061,2005-12-05,CON
09568425,10109413,2002-03-28,CON
09568425,PCT/US01/09116,2001-03-22,CON
09568430,10290137,2002-11-07,CIP
09568430,11545256,2006-10-10,CIP
09568430,PCT/US01/15047,2001-05-10,CON
09568438,11130114,2005-05-17,DIV
09568447,10631455,2003-07-30,DIV
09568449,10123773,2002-04-16,CON
09568449,10346909,2003-01-17,CON
09568450,09910298,2001-07-20,CIP
09568454,PCT/US00/27751,2000-10-06,CON
09568460,PCT/US01/10030,2001-03-27,CON
09568463,11198173,2005-08-08,DIV
09568463,12047738,2008-03-13,DIV
09568464,10247351,2002-09-20,CON
09568464,10097627,2002-06-03,DIV
09568470,11102757,2005-04-11,DIV
09568472,10014717,2001-11-13,CON
09568474,10608723,2003-06-26,CON
09568474,10763498,2004-01-22,CON
09568474,12121446,2008-05-15,CON
09568474,11305528,2005-12-16,CON
09568474,10288606,2002-11-05,CON
09568474,10680988,2003-10-07,CON
09568481,12818452,2010-06-18,CIP
09568484,11424906,2006-06-19,CON
09568484,11424912,2006-06-19,CON
09568484,12135758,2008-06-09,CON
09568484,11136043,2005-05-24,CON
09568484,10623046,2003-07-18,CON
09568484,11424911,2006-06-19,CON
09568489,10128563,2002-04-24,CON
09568491,09901779,2001-07-09,CON
09568502,10746643,2003-12-29,DIV
09568504,10051137,2002-01-22,CON
09568505,09812559,2001-03-21,DIV
09568505,09891195,2001-06-26,DIV
09568505,PCT/US00/13067,2000-05-12,CON
09568508,09955139,2001-09-19,DIV
09568515,10620785,2003-07-15,DIV
09568517,09741528,2000-12-19,CIP
09568520,11948502,2007-11-30,CON
09568520,11999315,2007-12-04,CON
09568520,10124967,2002-04-18,CON
09568520,10091099,2002-03-05,CON
09568520,10612083,2003-07-02,CON
09568520,10717127,2003-11-19,CON
09568520,11154009,2005-06-16,CON
09568520,11204627,2005-08-16,CON
09568525,09971954,2001-10-04,CON
09568525,12368871,2009-02-10,CON
09568525,13309454,2011-12-01,CON
09568525,11422305,2006-06-05,CON
09568528,11525280,2006-09-22,CON
09568528,11054085,2005-02-08,CON
09568528,10679999,2003-10-06,CON
09568531,12845977,2010-07-29,CIP
09568532,10334581,2002-12-31,CON
09568532,10043869,2001-11-01,CON
09568548,09998642,2001-12-03,DIV
09568550,09976014,2001-10-15,DIV
09568551,PCT/US01/15439,2001-05-11,CON
09568552,13714774,2012-12-14,CON
09568552,13459670,2012-04-30,CON
09568552,13850616,2013-03-26,CON
09568552,12891480,2010-09-27,CON
09568552,11376158,2006-03-16,CON
09568552,13961452,2013-08-07,CON
09568555,10698999,2003-10-31,CON
09568558,10379474,2003-03-03,CIP
09568558,11026749,2004-12-30,CIP
09568558,09922358,2001-08-03,CIP
09568558,10652805,2003-08-29,CIP
09568558,11015247,2004-12-15,CIP
09568558,60331377,2001-08-03,CIP
09568558,10864099,2004-06-08,CIP
09568558,10412564,2003-04-11,CIP
09568558,09947210,2001-09-04,CIP
09568558,10290481,2002-11-06,CIP
09568559,10667281,2003-09-17,DIV
09568560,09718580,2000-11-21,DIV
09568562,10785594,2004-02-24,CON
09568568,11688246,2007-03-19,CON
09568568,13348625,2012-01-11,CON
09568568,12343446,2008-12-23,CON
09568568,12356531,2009-01-20,CON
09568570,12800759,2010-05-22,CON
09568570,12074283,2008-03-03,CON
09568571,14137974,2013-12-20,CON
09568571,11356870,2006-02-18,CON
09568571,13418527,2012-03-13,CON
09568571,14866285,2015-09-25,CON
09568571,12387801,2009-05-06,CON
09568572,12876219,2010-09-06,CON
09568572,11244627,2005-10-05,CON
09568572,13687086,2012-11-28,CON
09568580,10094650,2002-03-12,DIV
09568580,10615381,2003-07-09,DIV
09568584,10251377,2002-09-20,CON
09568584,10723045,2003-11-26,CIP
09568584,10914490,2004-08-10,CON
09568590,10093482,2002-03-11,DIV
09568595,10357556,2003-02-03,CON
09568595,12123426,2008-05-19,CON
09568603,11642328,2006-12-19,CON
09568603,11705982,2007-02-12,CON
09568603,11879484,2007-07-17,CON
09568603,11705997,2007-02-12,CON
09568603,14105155,2013-12-12,CON
09568603,14090212,2013-11-26,CON
09568611,09976919,2001-10-11,DIV
09568613,12287696,2008-10-09,CON
09568613,11524810,2006-09-20,CIP
09568622,09733586,2000-12-08,CON
09568622,10122139,2002-04-15,CON
09568625,10045488,2001-11-06,DIV
09568635,09945638,2001-09-04,DIV
09568642,95000186,2006-11-15,REX
09568643,10972633,2004-10-25,DIV
09568643,10099282,2002-05-09,DIV
09568644,10794298,2004-03-03,CON
09568646,10648142,2003-08-25,CON
09568648,12732005,2010-03-25,CON
09568648,12649174,2009-12-29,CON
09568648,10797774,2004-03-09,CON
09568648,11634519,2006-12-05,CON
09568653,10286733,2002-11-01,CON
09568653,10039616,2002-01-04,CON
09568653,10160320,2002-05-30,CON
09568653,10395800,2003-03-24,CON
09568654,09853068,2001-05-09,DIV
09568657,10104221,2002-03-22,CIP
09568661,10264460,2002-10-03,DIV
09568662,95000214,2007-04-24,REX
09568662,10028071,2001-12-21,CON
09568662,09699816,2000-10-30,CIP
09568665,PCT/US00/13054,2000-05-12,CON
09568674,10842766,2004-05-11,DIV
09568676,10120814,2002-04-11,CON
09568676,10230569,2002-08-29,CON
09568676,09923191,2001-08-06,DIV
09568676,10930520,2004-08-31,CON
09568680,09955734,2001-09-19,CON
09568707,11172327,2005-06-30,CON
09568707,10799258,2004-03-12,CON
09568707,11170852,2005-06-30,CON
09568707,11172326,2005-06-30,CON
09568707,11171153,2005-06-30,CON
09568707,11841566,2007-08-20,CON
09568707,11588707,2006-10-27,CON
09568707,10420249,2003-04-21,CON
09568707,10317417,2002-12-11,CON
09568707,11170901,2005-06-30,CON
09568723,10361190,2003-02-07,DIV
09568723,10844759,2004-05-12,DIV
09568723,11491321,2006-07-21,DIV
09568723,11093069,2005-03-28,DIV
09568726,10041258,2002-01-08,CON
09568733,09724911,2000-11-28,CON
09568737,10096128,2002-03-08,DIV
09568745,PCT/US00/12984,2000-05-12,CON
09568754,09594292,2000-06-15,CIP
09568754,10940585,2004-09-14,CIP
09568754,10690223,2003-10-21,CIP
09568754,09594651,2000-06-15,CIP
09568754,09594276,2000-06-15,CIP
09568756,10161539,2002-06-03,CON
09568760,10116961,2002-04-05,CON
09568763,10257302,2003-03-12,CIP
09568770,10449977,2003-05-30,CON
09568778,10328670,2002-12-23,CIP
09568778,09779690,2001-02-07,CIP
09568784,11054055,2005-02-08,DIV
09568784,10214794,2002-08-07,DIV
09568784,11490732,2006-07-20,CIP
09568784,12082972,2008-04-14,CIP
09568784,10618546,2003-07-11,CIP
09568784,09596758,2000-06-15,CIP
09568784,09842204,2001-04-24,CIP
09568786,09965448,2001-09-27,CON
09568786,10002883,2001-11-02,CON
09568788,10725149,2003-12-01,CON
09568793,09945110,2001-08-31,CON
09568798,09852669,2001-05-11,CIP
09568798,10795586,2004-03-09,CIP
09568798,11600758,2006-11-17,CIP
09568804,10740609,2003-12-22,DIV
09568814,10669271,2003-09-23,CON
09568818,13685577,2012-11-26,CIP
09568818,11187757,2005-07-22,CIP
09568818,14243639,2014-04-02,CIP
09568818,14478573,2014-09-05,CON
09568818,09851226,2001-05-08,CIP
09568818,12258163,2008-10-24,CIP
09568818,13707563,2012-12-06,CON
09568818,12967482,2010-12-14,CON
09568819,10614652,2003-07-07,CON
09568823,11191413,2005-07-27,CON
09568823,12322745,2009-02-07,CON
09568823,13065302,2011-03-18,CON
09568833,PCT/US00/13013,2000-05-12,CON
09568834,11377647,2006-03-17,CIP
09568855,10073915,2002-03-28,CIP
09568856,10864504,2004-06-10,CON
09568856,10166635,2002-06-12,CON
09568859,10160944,2002-05-31,DIV
