application_number,child_application_number,child_filing_date,continuation_type
11844821,14033262,2013-09-20,DIV
11844821,13487541,2012-06-04,DIV
11844821,14561031,2014-12-04,DIV
11844821,12910686,2010-10-22,DIV
11844824,12689773,2010-01-19,CON
11844826,11962464,2007-12-21,CON
11844827,12976215,2010-12-22,CON
11844832,PCT/US08/74156,2008-08-25,CON
11844834,12072252,2008-02-25,CIP
11844836,12728150,2010-03-19,CIP
11844839,13035589,2011-02-25,CON
11844839,12104287,2008-04-16,CON
11844839,12639372,2009-12-16,CON
11844841,12943555,2010-11-30,CON
11844842,13239537,2011-09-22,DIV
11844843,13251887,2011-10-03,CON
11844843,14593671,2015-01-09,CON
11844845,12835510,2010-07-13,CIP
11844847,13037573,2011-03-01,DIV
11844849,PCT/US07/18801,2007-08-27,CON
11844855,PCT/US08/58503,2008-03-27,CON
11844859,PCT/US08/74223,2008-08-25,CON
11844860,PCT/US08/74155,2008-08-25,CON
11844864,14072581,2013-11-05,CON
11844864,13189333,2011-07-22,CON
11844867,PCT/US08/60614,2008-04-17,CON
11844869,13281785,2011-10-26,DIV
11844869,12791926,2010-06-02,DIV
11844870,PCT/US08/73862,2008-08-21,CON
11844872,13901142,2013-05-23,CON
11844872,13901174,2013-05-23,CON
11844872,14515857,2014-10-16,DIV
11844872,13901199,2013-05-23,CON
11844872,14729601,2015-06-03,DIV
11844872,13900963,2013-05-23,CON
11844872,13901078,2013-05-23,CON
11844872,13803132,2013-03-14,DIV
11844872,13901027,2013-05-23,CON
11844872,14040535,2013-09-27,CON
11844872,14515921,2014-10-16,DIV
11844872,14729675,2015-06-03,DIV
11844872,14729688,2015-06-03,DIV
11844872,13901122,2013-05-23,CON
11844872,14515924,2014-10-16,DIV
11844872,14729626,2015-06-03,DIV
11844872,14729593,2015-06-03,DIV
11844872,13901047,2013-05-23,CON
11844872,13900873,2013-05-23,CON
11844872,14038209,2013-09-26,CON
11844872,13901218,2013-05-23,CON
11844872,14515855,2014-10-16,DIV
11844872,14729660,2015-06-03,DIV
11844872,13900933,2013-05-23,CON
11844872,14729565,2015-06-03,DIV
11844872,14729634,2015-06-03,DIV
11844875,PCT/US08/73887,2008-08-21,CON
11844875,13178214,2011-07-07,CON
11844881,PCT/US08/74098,2008-08-22,CON
11844883,14740698,2015-06-16,CON
11844883,14108879,2013-12-17,CON
11844883,13613426,2012-09-13,CON
11844883,PCT/US08/73883,2008-08-21,CON
11844884,PCT/US07/18762,2007-08-24,CON
11844884,12199703,2008-08-27,CON
11844887,13108189,2011-06-01,DIV
11844890,13330402,2011-12-19,DIV
11844899,12192419,2008-08-15,CON
11844901,12147592,2008-06-27,DIV
11844905,PCT/US07/18725,2007-08-24,CON
11844907,13650290,2012-10-12,CON
11844912,14823133,2015-08-11,CON
11844912,PCT/US08/74139,2008-08-25,CON
11844915,PCT/US08/74267,2008-08-25,CON
11844917,PCT/US08/73909,2008-08-21,CON
11844917,12716048,2010-03-02,CON
11844919,12192546,2008-08-15,CON
11844922,12556458,2009-09-09,CON
11844924,PCT/US08/65588,2008-06-02,CON
11844925,PCT/US08/74267,2008-08-25,CON
11844927,12259996,2008-10-28,CON
11844928,12340334,2008-12-19,CIP
11844930,13073995,2011-03-28,DIV
11844932,PCT/US08/74202,2008-08-25,CON
11844932,13280066,2011-10-24,CON
11844933,13341314,2011-12-30,CIP
11844933,PCT/US07/78025,2007-09-10,CON
11844933,13094809,2011-04-26,CIP
11844933,PCT/US10/43546,2010-07-28,CON
11844933,14048905,2013-10-08,CIP
11844933,12510968,2009-07-28,CIP
11844934,PCT/US08/65587,2008-06-02,CON
11844941,13477237,2012-05-22,CON
11844941,13236390,2011-09-19,CON
11844941,13236566,2011-09-19,CON
11844948,13489314,2012-06-05,DIV
11844960,PCT/US07/76924,2007-08-27,CON
11844965,14725800,2015-05-29,CON
11844966,13673659,2012-11-09,REI
11844971,12098747,2008-04-07,CON
11844972,12330395,2008-12-08,CON
11844974,14159357,2014-01-20,CON
11844974,13296060,2011-11-14,CON
11844975,PCT/US07/83811,2007-11-06,CON
11844978,12711207,2010-02-23,CON
11844982,12562114,2009-09-17,CON
11844982,12914936,2010-10-28,CON
11844988,12196141,2008-08-21,CIP
11844992,PCT/US08/73905,2008-08-21,CON
