application_number,child_application_number,child_filing_date,continuation_type
11380701,PCT/US07/67669,2007-04-27,CON
11380702,PCT/US06/60465,2006-11-01,CON
11380704,12114978,2008-05-05,CON
11380710,13164145,2011-06-20,DIV
11380710,PCT/US07/67193,2007-04-23,CON
11380714,12248942,2008-10-10,CIP
11380724,PCT/US07/64938,2007-03-26,CON
11380729,PCT/US07/66136,2007-04-06,CON
11380731,11865115,2007-10-01,CIP
11380731,12023108,2008-01-31,CIP
11380734,PCT/US06/61107,2006-11-20,CON
11380736,12028850,2008-02-11,CON
11380737,13525990,2012-06-18,CON
11380737,13236440,2011-09-19,CON
11380737,13690772,2012-11-30,CON
11380737,12819732,2010-06-21,CON
11380737,13007843,2011-01-17,CON
11380737,14086784,2013-11-21,CON
11380742,12620688,2009-11-18,CON
11380744,11865115,2007-10-01,CIP
11380744,12023108,2008-01-31,CIP
11380747,29337529,2009-05-23,CIP
11380752,PCT/US07/05674,2007-03-06,CON
11380752,11624590,2007-01-18,CIP
11380755,11749778,2007-05-17,CON
11380762,PCT/US07/67619,2007-04-27,CON
11380773,PCT/US07/67378,2007-04-25,CON
11380775,PCT/US07/67252,2007-04-24,CON
11380776,12404642,2009-03-16,DIV
11380776,PCT/US07/66298,2007-04-10,CON
11380780,12504817,2009-07-17,CON
11380780,12504861,2009-07-17,CON
11380780,12430175,2009-04-27,DIV
11380780,12430174,2009-04-27,DIV
11380780,12430167,2009-04-27,DIV
11380782,11865115,2007-10-01,CIP
11380782,12023108,2008-01-31,CIP
11380784,13161226,2011-06-15,CON
11380786,PCT/US07/10423,2007-04-30,CON
11380789,PCT/US07/66828,2007-04-18,CON
11380789,12687166,2010-01-14,DIV
11380791,PCT/US07/09856,2007-04-24,CON
11380792,PCT/US06/16688,2006-05-02,CON
11380796,13224588,2011-09-02,CON
11380797,12974275,2010-12-21,DIV
11380797,11772517,2007-07-02,CIP
11380797,12386536,2009-04-20,DIV
11380798,12862042,2010-08-24,DIV
11380798,13353758,2012-01-19,DIV
11380798,14447837,2014-07-31,DIV
11380799,11841247,2007-08-20,CON
11380799,11848585,2007-08-31,CON
11380799,11872743,2007-10-16,CIP
11380803,12831910,2010-07-07,CON
11380804,12819644,2010-06-21,CON
11380804,12334223,2008-12-12,CON
11380806,PCT/US06/16686,2006-05-02,CON
